	troost/noun	loot/noun	droom/noun	belangstellende/noun	geld/noun	bevrediging/noun	reëel/adj	blijk/verb	loop_mis/verb	stang/noun	in/verb	geef/verb	druk_uit/verb	vrede_regeling/noun	alles/noun	telefoon_gesprek/noun	leef_op/verb	injecteer/verb	stel/verb	pelgrim/noun	genezing/noun	lijk/verb	verlossing/noun	heb_op/verb	gelul/verb	onzin/noun	uit_weg/noun	vod/noun	leer/verb	Belgisch/adj	toepassing/noun	ontleen/verb	veel/det	staal/noun	al/adv	horizon/noun	nieuw/adj	vaag/adj	scheel/verb	ons/det	incasseringsvermogen/noun	plaats_DIM/noun	slordig/adj	verlies/verb	schenk/verb	die/det	puin/noun	nauwelijks/det	veeg/verb	redding/noun	goed/adj	vrede/noun	wanhoop/noun	krijg/verb	tijd/noun	en/vg	breng/verb	liefde/noun	groot/adj	kabaal/noun	ding/noun	oppositie/noun	geef_op/verb	schep/verb	boodschap/noun	rommel/noun	geen/det	enig/det	gooi/verb	laat/adj	mijn/det	verandering/noun	in/prep	kind_DIM/noun	wat/det	Francesco/name	één/num	terug_match/noun	einde/noun	weinig/det	verbetering/noun	overleving/noun	overlast/noun	spreek_uit/verb	wek_op/verb	rente/noun	vestig/verb	weer/adv	hele/adj	daarmee/pp	groei/verb	rechtvaardig/verb	sprankje/noun	doe/verb	vreugde/noun	zegen/noun	geef_uit/verb	ijdel/adj	koop/verb	vrees/noun	rust/noun	waarheid/noun	ben/verb	sterk/verb	materiaal/noun	pril/adj	rotzooi/noun	schiet_af/verb	stil/adj	bied/verb	genees_middel/noun	lig/verb	heel/adj	vooral/adv	conflict/noun	sterf/verb	geduld/noun	koester/verb	heb/verb	bel_af/verb	poen/noun	laat/verb	op/prep	ontneem/verb	beterschap/noun	mens/noun	licht_DIM/noun	verwachting/noun	Al/det	verdriet/noun	flauw/adj	leven_DIM/noun	haar/det	ballast/noun	enig/adj	werk/noun	alle/det	voor/prep	afloop/noun	blijf/verb	herstructurering/noun	zonder/prep	de/det	ervaring/noun	gelijkmaker/noun	hulpverlener/noun	kennis/noun	geloof/noun	hun/det	vals/adj	vurig/adj	weinig/adj	toekomst/noun	tussen/prep	dag/noun	zie_tegemoet/verb	rijs/verb	teken/noun	verg/verb	zijn/det	renner/noun	bevat/verb	rumoer/noun	solidariteit/noun	benzine/noun	druk_in/verb	beetje/noun	staar/verb	een/det	gloor/verb	veel/adj	put/verb	herstel/noun	gezeur/noun	vertrouwen/noun	koers_stijging/noun	zet/verb	geluk/noun	meer/det	waai_over/verb	besta/verb	inspireer/adj	ondanks/prep	ellende/noun
nieuw/adj	0.8832442	0.8452172	0.9195929	0.829984	0.8554977	0.887606	0.8325861	0.89553607	0.8720298	0.91146076	0.8743584	0.8096533	0.8991085	0.84241664	0.91566986	0.86707914	0.86596686	0.839621	0.8580688	0.87045515	0.8570117	0.87047195	0.8479664	0.87626547	0.9332121	0.92377955	0.81910706	0.91070175	0.91228515	0.7860372	0.684003	0.7692655	0.84629506	0.80189466	0.8707575	0.84148085	0.0	0.82305145	0.93525505	0.7474229	0.9296887	0.88481927	0.86443305	0.89898896	0.8657208	0.72988164	0.86880326	0.7988693	0.86170125	0.88993955	0.83448875	0.86939055	0.9050852	0.8154767	0.91772527	0.7788924	0.8669417	0.8890101	0.79177076	0.86745894	0.92930233	0.83114016	0.8644138	0.8177138	0.9037361	0.8578416	0.8333403	0.83840454	0.9192154	0.8557313	0.8496559	0.75373733	0.79609454	0.9177471	0.8526582	0.906982	0.8274872	0.9188446	0.86346334	0.85684645	0.7440284	0.87413526	0.8627069	0.84207547	0.8716276	0.8857884	0.8214471	0.84579885	0.86285204	0.7955475	0.8601904	0.83012295	0.9028073	0.9212943	0.9133834	0.8321245	0.8135467	0.90080386	0.79470575	0.8814578	0.92203754	0.89555407	0.8658868	0.873996	0.73770636	0.808316	0.88760537	0.85200995	0.8741039	0.7283932	0.7813853	0.86437744	0.7974065	0.82737035	0.84013635	0.9538874	0.88430035	0.8851421	0.833238	0.897879	0.88761604	0.8860558	0.83649015	0.8335776	0.84137017	0.90166825	0.85275435	0.848043	0.7540682	0.9372209	0.90496475	0.9048338	0.79442286	0.88446957	0.86045575	0.8252723	0.7180754	0.69719946	0.91862833	0.89514893	0.75223696	0.79591393	0.6556221	0.88872755	0.9309397	0.8909919	0.8192922	0.8954006	0.7412064	0.84029925	0.8625687	0.8687786	0.79957855	0.8471733	0.9237437	0.83164704	0.8574146	0.8951319	0.7323477	0.7725203	0.8955307	0.7405281	0.85651445	0.8580998	0.8862567	0.8599899	0.9269014	0.9017206	0.6357255	0.85289866	0.8853564	0.8428014	0.8182183	0.89793825	0.8459995	0.8938741	0.8723171	0.9305484	0.8111013	0.8395735	0.7568952	0.78317827	0.8634254	0.91042286
vaag/adj	0.77542764	0.90181917	0.79763556	0.86373913	0.89080626	0.788432	0.72701025	0.79446644	0.8779622	0.86246866	0.87418675	0.7695817	0.72622377	0.86995494	0.85537726	0.777309	0.84572095	0.84427863	0.8457826	0.87600744	0.8146211	0.7214668	0.7912353	0.8053396	0.8118642	0.78040403	0.81502753	0.890749	0.8318801	0.9104414	0.76995933	0.72249925	0.7586884	0.85504436	0.85544896	0.7851043	0.82305145	0.0	0.859761	0.8101704	0.9048972	0.9175422	0.7847859	0.91541016	0.9018331	0.6429229	0.89382654	0.7748616	0.8242724	0.89681196	0.79204184	0.82898	0.7833252	0.86088556	0.8863746	0.78435445	0.8946327	0.7573338	0.8365011	0.8379155	0.8033512	0.85457563	0.8409665	0.7860051	0.796497	0.82009584	0.7205359	0.72136426	0.9057634	0.89232874	0.80355716	0.825035	0.8916146	0.8920682	0.78969854	0.92022383	0.8493812	0.9602565	0.9194592	0.71944714	0.8403983	0.8596162	0.8466616	0.8066815	0.7251588	0.89423215	0.9256755	0.8658676	0.8723126	0.8274841	0.8365448	0.71752113	0.8711461	0.792506	0.85742915	0.8720806	0.9088247	0.7065501	0.91529346	0.81613743	0.94045097	0.73561597	0.73072296	0.7868114	0.8283136	0.8001264	0.8302425	0.8516951	0.8006146	0.820639	0.8789992	0.8711661	0.8314069	0.81185114	0.81965756	0.9202002	0.83981365	0.7228216	0.78467476	0.88684267	0.861686	0.8532197	0.88697827	0.8182162	0.8545325	0.81447375	0.8296219	0.8291484	0.8052476	0.80383384	0.66685534	0.85454273	0.8087002	0.8311478	0.7958728	0.8854749	0.7849519	0.813675	0.8646516	0.78648937	0.8947079	0.7773031	0.8093948	0.79793847	0.948617	0.8246993	0.77685255	0.7371969	0.7757669	0.7539121	0.8079566	0.72809386	0.8502116	0.8512446	0.92501825	0.85755426	0.77425545	0.79868335	0.8062754	0.79526615	0.9111035	0.69107014	0.8154674	0.80046785	0.90708524	0.8095507	0.7905908	0.81495285	0.7227075	0.8449928	0.7753012	0.80673814	0.84589845	0.8220168	0.8809061	0.87942696	0.9218589	0.85502994	0.8280595	0.82657504	0.6976836	0.7080706	0.7921335	0.82142305
scheel/verb	0.83847725	0.8604309	0.9182304	0.8175932	0.7973661	0.86868966	0.8583233	0.84679466	0.7069821	0.85630405	0.8132688	0.8418082	0.8507133	0.96262777	0.8208818	0.9014083	0.8854358	0.8753877	0.9269681	0.85352504	0.8867663	0.78084713	0.9104514	0.75355804	0.78906786	0.76585466	0.8838744	0.8774597	0.79091436	0.94261664	0.92034775	0.89471734	0.81511945	0.8482578	0.803991	0.8953212	0.93525505	0.859761	0.0	0.8790446	0.8811654	0.91420954	0.76377714	0.8257744	0.8303718	0.77133644	0.8543481	0.81722564	0.8621615	0.908441	0.8044539	0.9342968	0.88348526	0.8367251	0.832816	0.85037965	0.9137172	0.90560913	0.9103178	0.82790065	0.80091566	0.9442739	0.860793	0.89585584	0.8761132	0.79342544	0.83518136	0.886964	0.8398763	0.87489843	0.83651173	0.9013435	0.9415978	0.889231	0.78988093	0.93492275	0.81458735	0.9360907	0.93824273	0.83422613	0.86633885	0.9225379	0.8530104	0.9335888	0.8413772	0.8476593	0.93775076	0.8444423	0.8775121	0.8524722	0.83463234	0.85682374	0.9123558	0.7124781	0.8665718	0.8578769	0.7594446	0.81833947	0.79835093	0.89832616	0.9240236	0.86622065	0.79378015	0.85559404	0.87624973	0.91675496	0.80561525	0.87436724	0.8738723	0.80863583	0.8781382	0.8304667	0.8551897	0.8935478	0.93576026	0.85299104	0.8251834	0.8710089	0.7645209	0.88582057	0.7724788	0.82279265	0.90946835	0.8199792	0.85118467	0.73110926	0.87191284	0.8868563	0.8963876	0.84668845	0.8141974	0.89360803	0.924993	0.8220212	0.872162	0.90563285	0.8863278	0.8493531	0.9019337	0.8722079	0.9330566	0.85843325	0.89548904	0.8512446	0.9359329	0.878579	0.8933927	0.8810686	0.86369836	0.89233345	0.895504	0.8207686	0.91705966	0.91198885	0.8512636	0.84141135	0.8445133	0.8961925	0.75153637	0.9205433	0.88166255	0.8294008	0.8788301	0.92762333	0.7888884	0.86813945	0.79418397	0.84836847	0.86823046	0.88110036	0.8041088	0.8649162	0.92498744	0.79264015	0.85628426	0.88939714	0.91113836	0.80745524	0.6948929	0.8983958	0.852389	0.8584962	0.89653945	0.79827553
ons/det	0.80179757	0.90523386	0.8195175	0.843015	0.8518796	0.8047006	0.7622175	0.8550632	0.85584617	0.8683641	0.8350078	0.78889346	0.8019545	0.8694771	0.82608926	0.8731146	0.8123382	0.837779	0.8426473	0.84268284	0.81245387	0.80814254	0.8387838	0.82377744	0.8602547	0.87829924	0.84493744	0.8703416	0.7702091	0.7611816	0.82915604	0.73880726	0.76671135	0.86339295	0.885533	0.8473344	0.7474229	0.8101704	0.8790446	0.0	0.8432655	0.84152615	0.8520183	0.8276259	0.7952411	0.641001	0.8642799	0.766081	0.84693015	0.8289889	0.7028588	0.7705066	0.82479906	0.8002041	0.88203764	0.68845546	0.85379255	0.76489735	0.7476667	0.85770154	0.85742235	0.865013	0.8323691	0.7738037	0.8361015	0.8374003	0.7540246	0.7856439	0.8585917	0.9011392	0.5098311	0.7793168	0.79907584	0.851351	0.782207	0.8858239	0.7978394	0.88433236	0.9113832	0.77302444	0.77951187	0.8097439	0.8513257	0.8510121	0.8050043	0.89923954	0.84159213	0.8373738	0.838818	0.770882	0.79625	0.7832341	0.8734886	0.8398935	0.80777943	0.8330508	0.8692891	0.81893003	0.84772646	0.8459507	0.8481555	0.8141018	0.769126	0.7440609	0.81518394	0.76912975	0.83981466	0.85436517	0.85328335	0.75732356	0.8303212	0.81229895	0.72438383	0.73369145	0.84615374	0.8796388	0.8106141	0.7164216	0.73102945	0.85317177	0.86291105	0.83582956	0.8296747	0.7484074	0.8367662	0.7759746	0.84311277	0.8714159	0.72231483	0.82340884	0.87051696	0.8535558	0.57876027	0.8529744	0.7514801	0.84739804	0.6777506	0.72406566	0.8428433	0.76593363	0.85149956	0.75314415	0.68567216	0.7899212	0.88158023	0.7982807	0.7283301	0.70682645	0.43262184	0.8672687	0.78305316	0.73895204	0.7967811	0.849164	0.8996234	0.8264512	0.84233826	0.81532437	0.75760365	0.54804087	0.83646506	0.8342013	0.8491342	0.70864874	0.8888386	0.87046087	0.8045187	0.84235	0.73576033	0.862697	0.72098076	0.75711966	0.8149682	0.83583593	0.74909973	0.89473	0.85406303	0.8151996	0.79361653	0.8408958	0.76260847	0.7412505	0.7722396	0.83117265
incasseringsvermogen/noun	0.87892693	0.9329732	0.86993384	0.91387063	0.8869769	0.87239105	0.88525957	0.88202715	0.91332805	0.9143047	0.9323256	0.8916635	0.9042961	0.91246885	0.8933429	0.9302673	0.8954482	0.8947767	0.9080177	0.9347625	0.8934054	0.85151094	0.91228664	0.88626856	0.9145344	0.88558036	0.9243737	0.9281931	0.89062643	0.9310231	0.91281015	0.89289623	0.80166453	0.901793	0.92107147	0.89788026	0.9296887	0.9048972	0.8811654	0.8432655	0.0	0.9507084	0.90504646	0.8833207	0.91843605	0.8654194	0.92551506	0.8756663	0.92939913	0.89508224	0.84414035	0.89567524	0.8522084	0.90518594	0.8712973	0.85474014	0.93299943	0.8806513	0.87938684	0.8601985	0.88541746	0.9203279	0.88655573	0.90372497	0.90197504	0.90724105	0.8841827	0.8580504	0.92033124	0.9458857	0.8687923	0.8648221	0.9320074	0.92449915	0.83553433	0.9460622	0.93515915	0.9386984	0.9231506	0.84390235	0.87529606	0.8766508	0.87243533	0.91782737	0.8573046	0.89938164	0.94199353	0.879496	0.94170237	0.8609714	0.8497966	0.877802	0.92852443	0.87765324	0.88466966	0.90915376	0.92396057	0.85846186	0.916912	0.8724337	0.9276652	0.894955	0.8596357	0.8588747	0.87456965	0.8824544	0.87346536	0.8947185	0.9151239	0.87274027	0.8987969	0.9101103	0.8920197	0.85689265	0.89364815	0.9372204	0.7238738	0.8696352	0.84578645	0.94863963	0.86983776	0.9026967	0.9177246	0.8777011	0.8865667	0.8717957	0.92729	0.8818423	0.90460056	0.87856865	0.8936007	0.89950025	0.8944556	0.8765286	0.9202914	0.8934556	0.9001637	0.89342904	0.89798295	0.8640406	0.91591346	0.89824927	0.89327586	0.8094192	0.9402179	0.8974545	0.7963763	0.84982085	0.8394386	0.93275565	0.89951324	0.85604036	0.8928319	0.9074587	0.9307438	0.9020624	0.87296987	0.8969781	0.81096596	0.87060225	0.92111135	0.891259	0.8819244	0.8222843	0.9070506	0.90546304	0.8641604	0.9129312	0.84573984	0.8822223	0.77962446	0.86243373	0.87238115	0.88787997	0.8213723	0.864278	0.9203102	0.8656994	0.86787915	0.9184952	0.9010775	0.88081	0.8357342	0.8638127
plaats_DIM/noun	0.880651	0.88701713	0.87306535	0.828652	0.8654081	0.93612766	0.8998581	0.9366307	0.85784066	0.9025153	0.8567364	0.9432864	0.94149673	0.908032	0.90578127	0.8987195	0.8486965	0.90959066	0.9397408	0.8237321	0.86851966	0.87642986	0.87382394	0.8741976	0.9518422	0.9386139	0.8722948	0.8938389	0.94531804	0.82131374	0.9200279	0.8788003	0.9082525	0.9092798	0.8812654	0.78896475	0.88481927	0.9175422	0.91420954	0.84152615	0.9507084	0.0	0.8870829	0.8377102	0.86096746	0.8777031	0.84676194	0.8416154	0.87718254	0.8295415	0.90148926	0.8924766	0.8694799	0.8905712	0.8658308	0.8160876	0.91486484	0.91642183	0.8915815	0.88287044	0.91640246	0.92150146	0.8900736	0.9050336	0.91508275	0.8635214	0.9135216	0.900455	0.889086	0.8596948	0.87947404	0.9296691	0.744853	0.8615283	0.87678844	0.8909167	0.8478688	0.8364778	0.9058334	0.9171717	0.9082084	0.9041187	0.8984433	0.9474725	0.9160123	0.90983284	0.79414076	0.8147133	0.930436	0.8481992	0.8945128	0.91824526	0.89174855	0.94961935	0.882005	0.8718178	0.9212017	0.8962004	0.87236	0.9109484	0.85685444	0.8801021	0.87836707	0.88258106	0.89605474	0.8697015	0.88227904	0.85162544	0.86827195	0.8816952	0.91183794	0.7713376	0.8629943	0.8723736	0.92377484	0.88237804	0.904994	0.8656735	0.902274	0.8802009	0.89492154	0.9040312	0.8092565	0.85686564	0.8596722	0.8639083	0.82799363	0.90602803	0.84433234	0.91877	0.9198955	0.8825455	0.8810812	0.91032535	0.8931281	0.9105496	0.8578719	0.805431	0.89876616	0.83709514	0.91326886	0.8985782	0.74662	0.93303925	0.8501756	0.88189924	0.9355855	0.91532123	0.85341585	0.9193739	0.8392781	0.89174473	0.89157206	0.85869384	0.8654868	0.8938696	0.9118395	0.93184596	0.92697924	0.8706677	0.7958448	0.8917539	0.8677087	0.9150756	0.9006791	0.8919636	0.8934164	0.84676856	0.81929123	0.8647692	0.88168484	0.88389903	0.91159046	0.902507	0.89658165	0.8931775	0.872665	0.881945	0.8921341	0.8989586	0.9033259	0.8821571	0.91427726	0.9090712
slordig/adj	0.8722172	0.7626004	0.9158102	0.766728	0.811863	0.91119564	0.8432027	0.84977263	0.7802572	0.8795497	0.82693845	0.89640206	0.8435044	0.93432784	0.83440924	0.86764526	0.8681974	0.8316829	0.92007923	0.82053834	0.878166	0.8133869	0.8559888	0.8493448	0.8828437	0.8792792	0.9115132	0.85176814	0.8601678	0.87946296	0.89042604	0.83928394	0.8047745	0.7667966	0.80761415	0.85108685	0.86443305	0.7847859	0.76377714	0.8520183	0.90504646	0.8870829	0.0	0.83089346	0.7800427	0.7876555	0.8411642	0.7598587	0.85831714	0.8567711	0.77490973	0.9433432	0.8556751	0.8427822	0.87536013	0.75960004	0.90118665	0.8686256	0.86555433	0.8434351	0.8367666	0.92187893	0.9121831	0.8797845	0.87998617	0.7871384	0.8736586	0.88471127	0.85782886	0.8357846	0.8460468	0.9032464	0.86104274	0.8763077	0.8069216	0.8817199	0.7917128	0.90963256	0.9223458	0.82167757	0.8789481	0.9072169	0.8833202	0.9421462	0.8422831	0.8425802	0.90522695	0.8707255	0.8620003	0.84234023	0.81210905	0.8572386	0.9177312	0.90009445	0.88197196	0.90022284	0.6836021	0.79632866	0.7635908	0.9009352	0.82357115	0.88207847	0.8240149	0.890246	0.7954706	0.869167	0.79649633	0.85492736	0.855988	0.837489	0.8733641	0.8434168	0.83743334	0.8319684	0.9099854	0.8513323	0.8645586	0.8893753	0.8610088	0.90129954	0.8538137	0.8491843	0.8602674	0.86643106	0.8583451	0.7211727	0.8090632	0.87198174	0.82432324	0.85922855	0.736496	0.87791425	0.85526615	0.8504442	0.9053763	0.8199733	0.85730946	0.80807006	0.8771071	0.87154156	0.8558986	0.8553212	0.84001094	0.8668619	0.8225539	0.8566022	0.8761413	0.9151043	0.83266777	0.8185388	0.84880126	0.78570795	0.9225321	0.8196683	0.8266246	0.83441275	0.86523783	0.90674734	0.7576859	0.83498704	0.84225893	0.73956716	0.8880069	0.9145929	0.80864644	0.851352	0.8034675	0.83606774	0.7624252	0.8952277	0.78206253	0.85013866	0.87986165	0.8456378	0.8985886	0.830409	0.8732363	0.859638	0.6708081	0.88627267	0.82779324	0.79977286	0.86673605	0.88020074
verlies/verb	0.85023195	0.8912775	0.8849116	0.8807467	0.92055446	0.92569834	0.86666584	0.84932625	0.6938493	0.8797575	0.84925646	0.843799	0.87022704	0.9287187	0.9091536	0.89355636	0.7795564	0.8660589	0.92132163	0.8693769	0.90162426	0.81816655	0.8876856	0.81943023	0.93723136	0.93570703	0.88706106	0.91142946	0.89731365	0.79731286	0.9516573	0.8463268	0.8585005	0.89041805	0.8272389	0.8962122	0.89898896	0.91541016	0.8257744	0.8276259	0.8833207	0.8377102	0.83089346	0.0	0.8184459	0.8729526	0.89660335	0.83023554	0.81254804	0.80375123	0.8672468	0.91580343	0.8549629	0.7774499	0.9062306	0.7631521	0.8832001	0.89594305	0.83629155	0.90081227	0.9235719	0.883177	0.74108326	0.8869877	0.94514483	0.9126694	0.860531	0.85834515	0.87458986	0.80082357	0.82422304	0.913144	0.76172996	0.8735994	0.89428127	0.8649836	0.78272426	0.716671	0.8640597	0.83956265	0.9166098	0.89845556	0.92677104	0.87500405	0.87417257	0.8467953	0.86602545	0.8228472	0.92624295	0.7822943	0.7838807	0.8668001	0.902918	0.89978814	0.8327499	0.8806421	0.84987533	0.88009924	0.8350242	0.8591808	0.73392594	0.8991087	0.8865053	0.8034614	0.9483974	0.87523746	0.92138076	0.84737766	0.89501905	0.88643706	0.9360924	0.9014489	0.9011853	0.8589999	0.91141576	0.8104312	0.8591417	0.8219529	0.7655704	0.8608404	0.87077326	0.8716468	0.8349091	0.7196859	0.79476756	0.87664485	0.8825797	0.8528639	0.836889	0.8901542	0.87531525	0.9213357	0.8039185	0.8994181	0.8489674	0.9412422	0.87880343	0.8259803	0.8547116	0.81809676	0.8620943	0.81828034	0.7870823	0.90940505	0.792519	0.91202986	0.92193735	0.8898647	0.79069304	0.9242618	0.8396284	0.84546846	0.9109169	0.79311526	0.8636729	0.76928174	0.87523365	0.89754164	0.8707654	0.79304695	0.8249042	0.90270686	0.8876989	0.8960472	0.87368184	0.85449266	0.8766137	0.89119065	0.8411274	0.83507425	0.8613417	0.79074085	0.83419603	0.9001389	0.8289977	0.74942076	0.8553834	0.8488183	0.8064794	0.8618998	0.90227056	0.88062996	0.82213396	0.88868695
schenk/verb	0.756009	0.79490674	0.864663	0.7868229	0.7967904	0.8659488	0.9086987	0.9018653	0.8134249	0.8780657	0.8047978	0.7714986	0.8314593	0.9326769	0.9164217	0.8934129	0.864949	0.8333517	0.8511645	0.8447907	0.87238586	0.8741616	0.8527478	0.74221087	0.92789257	0.8988494	0.8822918	0.86511827	0.8486961	0.7874732	0.89650065	0.7612421	0.8185586	0.8108407	0.8899231	0.8750695	0.8657208	0.9018331	0.8303718	0.7952411	0.91843605	0.86096746	0.7800427	0.8184459	0.0	0.86328495	0.8524393	0.82431716	0.8407086	0.8658067	0.8870723	0.88332504	0.85686404	0.7295233	0.8958622	0.6743486	0.84059566	0.80116236	0.85749453	0.8596386	0.8970418	0.925303	0.86669475	0.798318	0.8832248	0.82742816	0.8564491	0.90543175	0.82284737	0.9170216	0.8228104	0.933901	0.8261047	0.83424896	0.813097	0.8902967	0.8302864	0.89457107	0.9266053	0.853374	0.9108025	0.91221225	0.8997355	0.8765498	0.83160335	0.8971068	0.8016512	0.8980421	0.88534373	0.88710135	0.8671506	0.85843784	0.88797325	0.88442284	0.818681	0.8038541	0.7173531	0.86906785	0.6270157	0.91639537	0.8728229	0.90407014	0.88356256	0.82917905	0.81937593	0.8352814	0.84096855	0.840916	0.9006839	0.75021183	0.87614685	0.8812801	0.87505424	0.8528965	0.9366205	0.80633295	0.8472763	0.76999426	0.8164527	0.9011875	0.8756607	0.8551408	0.894267	0.74524605	0.8806236	0.8207323	0.843078	0.9235148	0.8013763	0.84202373	0.9119265	0.86904454	0.7837992	0.8944649	0.85730743	0.8404518	0.8256977	0.7315403	0.8479384	0.88985956	0.9049281	0.8202018	0.7860328	0.88034374	0.87171626	0.85452425	0.858846	0.841945	0.7803607	0.86756146	0.8110153	0.87128806	0.8929374	0.8538513	0.8707387	0.81156397	0.8722421	0.8701149	0.8386818	0.79450476	0.8874147	0.7492032	0.8610574	0.8576945	0.79852533	0.87572265	0.89834493	0.8269132	0.763687	0.86046433	0.83612293	0.74273455	0.907038	0.8610786	0.8381748	0.8967427	0.87157893	0.8409873	0.77485037	0.91426915	0.8301595	0.83783925	0.8914703	0.88614345
die/det	0.78314626	0.8596753	0.76323843	0.83456594	0.79608166	0.804598	0.6864151	0.7542012	0.7957775	0.81249213	0.8008567	0.76636505	0.757774	0.84838295	0.7151499	0.81538606	0.8037899	0.82113516	0.8632339	0.84035563	0.75956386	0.6991278	0.800672	0.80343103	0.78257275	0.71813405	0.8057503	0.8296808	0.75908935	0.87699306	0.7456224	0.7143905	0.6844686	0.7753089	0.82315737	0.8116315	0.72988164	0.6429229	0.77133644	0.641001	0.8654194	0.8777031	0.7876555	0.8729526	0.86328495	0.0	0.84110737	0.7170131	0.806782	0.833813	0.7126181	0.810861	0.7904762	0.78451556	0.81774455	0.76989824	0.8460778	0.7675854	0.7621557	0.7589271	0.6847881	0.8389539	0.80220795	0.7385702	0.8001495	0.7415819	0.66810113	0.702726	0.8463557	0.7881267	0.65231514	0.73877275	0.8405466	0.8153657	0.6855967	0.91746926	0.75657487	0.8795028	0.85096395	0.7272792	0.7978283	0.8102306	0.81129813	0.83524716	0.7398108	0.8119123	0.9240939	0.75141	0.7967464	0.7007635	0.82027745	0.69589853	0.8673061	0.73865867	0.788051	0.83819306	0.8867084	0.7117523	0.8486646	0.7898326	0.83346367	0.72650695	0.6654155	0.7506391	0.7468554	0.7988323	0.7321458	0.816838	0.7957781	0.8028775	0.75779647	0.8225671	0.7005318	0.7282072	0.8145062	0.87084305	0.79275584	0.74421793	0.7155714	0.83895415	0.7800279	0.7963655	0.8202329	0.7624352	0.8357811	0.72626144	0.7822566	0.8212224	0.7401339	0.7462806	0.75745857	0.8185152	0.7286327	0.76838684	0.745695	0.80811715	0.6322987	0.73651975	0.83668715	0.763043	0.81127024	0.7053189	0.649294	0.76211727	0.8676787	0.80544966	0.7505335	0.70330656	0.6275505	0.8032727	0.8151636	0.7216035	0.81787276	0.81119204	0.8731097	0.81172293	0.7841991	0.8194581	0.72361827	0.7017455	0.85014516	0.7397425	0.7893319	0.7709353	0.8501562	0.7898687	0.7158623	0.8045317	0.6576137	0.799016	0.6911707	0.8003642	0.80704254	0.72472733	0.807515	0.8159467	0.8502545	0.78407633	0.75783825	0.7947698	0.7076876	0.7299371	0.7084795	0.7618927
puin/noun	0.8744682	0.8811321	0.88770735	0.80682725	0.84344447	0.8998105	0.92838025	0.9110595	0.8886554	0.85022074	0.8728666	0.9287721	0.9057942	0.88928866	0.8574823	0.85023916	0.87756497	0.8447215	0.9505487	0.763442	0.85968626	0.9025897	0.8895159	0.86307573	0.9254266	0.8915365	0.85721135	0.79367334	0.9145286	0.9052075	0.891151	0.8681747	0.8693589	0.70734763	0.8692703	0.78776026	0.86880326	0.89382654	0.8543481	0.8642799	0.92551506	0.84676194	0.8411642	0.89660335	0.8524393	0.84110737	0.0	0.80172217	0.8018902	0.88495636	0.91709065	0.8862128	0.8316942	0.8957491	0.8998897	0.73456895	0.8974371	0.8932365	0.8808203	0.80663586	0.9055137	0.89823943	0.8960343	0.84813935	0.8885145	0.6410056	0.91875833	0.8888421	0.69912827	0.87585884	0.84249055	0.9345765	0.7900815	0.7716603	0.82754457	0.92129314	0.83882946	0.9336419	0.9315056	0.9020083	0.931454	0.9371039	0.86351216	0.94477636	0.870574	0.93385243	0.81361353	0.7981807	0.87339824	0.8857548	0.87874615	0.88942134	0.8949532	0.93753546	0.87379056	0.88279486	0.89849925	0.88215464	0.83504057	0.86849564	0.91817766	0.8864131	0.8750852	0.89049137	0.69960046	0.8813854	0.67731595	0.8140043	0.7947922	0.89338136	0.89002234	0.7083991	0.8230265	0.89820975	0.87898403	0.7714576	0.9017206	0.8916933	0.87256074	0.8959283	0.86317134	0.8324553	0.8528184	0.8633571	0.9079343	0.78091323	0.7589994	0.9044626	0.8578325	0.82085073	0.9007135	0.8726236	0.8245642	0.8152327	0.9046969	0.87806773	0.83751035	0.9014945	0.905694	0.87577456	0.8966687	0.86458087	0.7848054	0.9145089	0.9209132	0.76100755	0.89163506	0.8986817	0.79574066	0.85935235	0.8718065	0.9082273	0.9292445	0.84732354	0.84551597	0.9142794	0.8678504	0.8770192	0.86523354	0.842345	0.89636004	0.8198812	0.8744688	0.88864946	0.7702224	0.86529267	0.8739839	0.77484477	0.78755236	0.8754989	0.8887527	0.8639827	0.8872278	0.8917709	0.9131498	0.9257599	0.86881375	0.8949523	0.8480006	0.87871134	0.85726494	0.8886254	0.9062274	0.7819217
