	word/verb	die/pron	produceer/verb	vier/num	als/prep	zoals/comp	per/prep	hard/adj	hoogwaardig/adj	46/num	blijk/verb	hoeveelheid/noun	aangekocht/adj	Waals/adj	allerlei/det	genomen/adj	bedek/verb	verdacht/adj	enkel/det	waarin/pp	chirurgisch/adj	representatief/adj	naar/prep	puur/adj	hoop/noun	stuk/noun	uit/prep	klein/adj	magnetisch/adj	nieuw/adj	met/adv	die/det	lichtgewicht/adj	neem/verb	lading/noun	afdeling/noun	stel_vrij/verb	ton/noun	acht/num	importeer/verb	roest_vrij/adj	vloeibaar/adj	in/prep	berg/noun	pak/noun	Japan/det	positief/adj	het/det	waardoor/pp	ben/verb	buitenlands/adj	boven_haal/verb	met/prep	ruw/adj	verschil/adj	kilo/noun	goedkoop/adj	op/prep	door/prep	val_samen/verb	maak/verb	gebruikelijk/adj	geïmporteerd/adj	verroest/adj	zacht/adj	licht/adj	boven/prep	ambachtelijk/adj	gemanipuleerd/adj	dat/pron	dik/adj	minder/det	alle/det	voor/prep	analyseer/verb	van/prep	zuiver/adj	deel_uit/verb	krijg_binnen/verb	doorboor/verb	plat/adj	zoals/prep	verwrongen/adj	waar/adv	rond/adj	eis/verb	gepantserd/adj	verbrand/adj	een/det	waarvan/pp	gelakt/adj	slinger_rond/adj	minder/adj	meer/det	onderzoek/verb	elk/det
aangekocht/adj	0.79513323	0.7966129	0.7373538	0.8452784	0.8540529	0.815521	0.8068199	0.93125325	0.74434185	0.9186876	0.884574	0.7858351	0.0	0.8595387	0.8125063	0.8224151	0.88735366	0.85779655	0.8400937	0.8338399	0.88560516	0.84515923	0.87530774	0.8921957	0.9296368	0.78954357	0.8365767	0.8074635	0.88538957	0.7981231	0.8657319	0.83843726	0.8856558	0.9321821	0.8345532	0.85947	0.86726314	0.806397	0.8553364	0.77604026	0.85319185	0.8164102	0.84737384	0.86823636	0.8882655	0.91143227	0.91953063	0.8307557	0.7881807	0.87251145	0.8153442	0.8678733	0.8379705	0.83158696	0.78969085	0.8517145	0.7474468	0.8672157	0.8586552	0.8997711	0.8808437	0.8544158	0.8080277	0.8730825	0.8896965	0.8920921	0.88282347	0.7877382	0.8558521	0.7694159	0.9021203	0.8191199	0.82476026	0.7996657	0.84512264	0.7881779	0.854282	0.87738615	0.85869455	0.90222186	0.8470021	0.76824296	0.8996522	0.80854553	0.8774432	0.9179758	0.88631517	0.87628055	0.7830444	0.75262415	0.9096311	0.9115939	0.8623777	0.83882946	0.86827093	0.82812023
Waals/adj	0.8034512	0.74910396	0.8618782	0.8318348	0.7665985	0.82219326	0.9078658	0.87106013	0.8530092	0.9121226	0.89492893	0.89263994	0.8595387	0.0	0.8309361	0.85028106	0.8867253	0.8710494	0.7917894	0.8147094	0.921106	0.82312274	0.86105657	0.8632956	0.8697413	0.89984965	0.8295187	0.83038014	0.92178994	0.7949868	0.7406584	0.798373	0.9268458	0.90247846	0.8892662	0.8125016	0.8644226	0.89512175	0.8418308	0.87495875	0.9293032	0.89364487	0.8166895	0.8576288	0.90209955	0.85741794	0.8597431	0.8245846	0.7919384	0.86610556	0.708038	0.8951681	0.8218546	0.8685209	0.7769395	0.92130005	0.86374414	0.84550154	0.78198224	0.83881104	0.9040349	0.8643004	0.89970005	0.9099279	0.88273764	0.89108324	0.8740891	0.84302753	0.85530674	0.8163222	0.9120885	0.8408893	0.7593748	0.79554516	0.87268865	0.7353865	0.8298295	0.8565236	0.8759621	0.9171347	0.85520816	0.78985196	0.91333514	0.81165355	0.8859056	0.79659736	0.9018694	0.89309186	0.7967521	0.8327013	0.94922364	0.9284747	0.8368456	0.854038	0.8740108	0.8283195
allerlei/det	0.71739507	0.53652686	0.72088516	0.8779806	0.7213024	0.54763865	0.85782635	0.84247744	0.68244755	0.9353708	0.7509266	0.6982994	0.8125063	0.8309361	0.0	0.74835795	0.79975784	0.75672483	0.66037637	0.60217977	0.75767446	0.75097156	0.86048293	0.69699657	0.80008596	0.78605807	0.75389194	0.7301262	0.72794163	0.67609286	0.7315479	0.56779456	0.837031	0.8504781	0.7208625	0.8025498	0.8095012	0.8097677	0.88180506	0.7812177	0.82135165	0.76307905	0.8025131	0.81037194	0.77453035	0.8587997	0.81880075	0.76661456	0.64346004	0.7462241	0.76289576	0.80639464	0.6670283	0.75670475	0.44679356	0.8316317	0.72529763	0.80945873	0.7139552	0.77249527	0.76451516	0.6338658	0.78054786	0.838382	0.7836797	0.79484594	0.87037385	0.7000421	0.70180017	0.6364926	0.82761025	0.7283554	0.5156162	0.7110852	0.66918874	0.7236724	0.68497604	0.8035724	0.7625601	0.87810284	0.7585805	0.47127062	0.7996365	0.7648449	0.7768945	0.86588085	0.8583058	0.81724215	0.605739	0.6698178	0.86163175	0.8600637	0.785764	0.7265178	0.7070714	0.6417941
genomen/adj	0.74724364	0.7214466	0.7710783	0.84352636	0.82569027	0.7951939	0.8314836	0.87001336	0.81595993	0.89109033	0.73310065	0.7022858	0.8224151	0.85028106	0.74835795	0.0	0.8413809	0.7561271	0.7777114	0.77528626	0.86319953	0.79826903	0.8706665	0.8343662	0.8787512	0.80569416	0.79128194	0.815649	0.8390338	0.84758806	0.78869486	0.7324656	0.8872625	0.59742284	0.7409419	0.8812394	0.84089255	0.7727412	0.8358345	0.7771239	0.86161464	0.8116228	0.8086069	0.8164433	0.8551118	0.87605697	0.83924574	0.7848137	0.70849013	0.77984565	0.80922526	0.81776446	0.7765252	0.78892756	0.7950496	0.7709427	0.80305684	0.8422636	0.7573382	0.84004825	0.83912367	0.784169	0.8003366	0.85621953	0.83341205	0.8125538	0.8247194	0.84159106	0.7944257	0.7729272	0.864524	0.78089744	0.72082824	0.79706186	0.76950675	0.74692893	0.7783271	0.8108486	0.8021183	0.8494961	0.8296231	0.731233	0.84808236	0.8201705	0.87545955	0.78438085	0.8508371	0.8206125	0.7199804	0.7674893	0.9121581	0.87129354	0.80828637	0.7917103	0.7682646	0.80478764
bedek/verb	0.87002194	0.79915965	0.7683953	0.8510794	0.86800385	0.8387579	0.89480937	0.8544248	0.8615175	0.9378499	0.9118353	0.7551182	0.88735366	0.8867253	0.79975784	0.8413809	0.0	0.8602581	0.8413883	0.7857173	0.8520419	0.88721585	0.8561374	0.85032415	0.8564865	0.70395994	0.7412015	0.74578524	0.80994356	0.87283826	0.92153347	0.8249615	0.84793717	0.9017384	0.7408712	0.90649503	0.93772095	0.7539182	0.8791139	0.8237007	0.7411487	0.6780075	0.78643495	0.6177551	0.6604798	0.9212513	0.9636402	0.7966051	0.71377844	0.8824573	0.93751556	0.79763824	0.6968696	0.70942533	0.839572	0.72326255	0.8599392	0.7562741	0.80016583	0.85592306	0.87535703	0.832461	0.8349605	0.72317517	0.586552	0.7397466	0.6271285	0.8014647	0.85544646	0.800497	0.46126598	0.8636173	0.84296477	0.8926172	0.866135	0.8195883	0.80012715	0.79107296	0.8361549	0.7218429	0.57984084	0.7879844	0.75528294	0.7574488	0.61966324	0.9388609	0.8261435	0.62047446	0.7094401	0.77856827	0.67249745	0.7953757	0.8619311	0.88488436	0.8734892	0.82595706
verdacht/adj	0.7050608	0.654068	0.8129355	0.76405096	0.8155518	0.8147069	0.81347585	0.90151906	0.8709793	0.9059405	0.7795672	0.7260066	0.85779655	0.8710494	0.75672483	0.7561271	0.8602581	0.0	0.72983825	0.8074199	0.87398136	0.8571357	0.8549324	0.86618704	0.89641523	0.8845486	0.79064506	0.831129	0.8605739	0.87869537	0.83860356	0.81710005	0.9249784	0.8917927	0.6945196	0.90028644	0.8661525	0.80189943	0.78183025	0.78563553	0.92355686	0.79020303	0.8145967	0.8491257	0.8574763	0.8970583	0.879807	0.8307949	0.779762	0.8627011	0.7914755	0.85694766	0.8198517	0.8211734	0.7655624	0.7513803	0.8483623	0.8614295	0.72175974	0.8510671	0.89929366	0.80646825	0.7911604	0.85948944	0.8868963	0.8609658	0.8920832	0.8823736	0.7967224	0.7990078	0.8794213	0.8158611	0.72980976	0.8490312	0.7937066	0.74059385	0.8444162	0.8414231	0.74565876	0.85471684	0.8636761	0.7493131	0.87681776	0.7906596	0.89513475	0.78945243	0.8252581	0.7830086	0.7518232	0.7418403	0.9222922	0.8499907	0.8655379	0.81050706	0.6137529	0.7820472
enkel/det	0.7283149	0.62519956	0.84296906	0.6094141	0.7904687	0.7791373	0.7464234	0.84582496	0.84472966	0.86474484	0.8011669	0.79584056	0.8400937	0.7917894	0.66037637	0.7777114	0.8413883	0.72983825	0.0	0.75944865	0.83327377	0.8325877	0.85597956	0.8738197	0.8424215	0.82547826	0.752496	0.7342856	0.8640741	0.79982615	0.7974025	0.71971303	0.91007596	0.8623131	0.7539236	0.8532609	0.86775815	0.82700014	0.6352017	0.8584745	0.8689434	0.8275917	0.7806787	0.8241121	0.7813145	0.87627256	0.83014	0.82656986	0.70063406	0.7929723	0.7645893	0.8172839	0.7474874	0.8455167	0.6543305	0.8090524	0.8447375	0.8009477	0.73610973	0.83328104	0.86314476	0.7844013	0.85045266	0.8432888	0.85815966	0.7735438	0.8281269	0.8275526	0.8495787	0.7922116	0.8362927	0.7451818	0.662717	0.77761745	0.7891022	0.7693266	0.84081846	0.7810565	0.76237583	0.81680244	0.8203249	0.73439753	0.8704056	0.768268	0.84529114	0.79480016	0.815837	0.8056665	0.6195295	0.7238168	0.89833623	0.8715726	0.780727	0.7341646	0.7803705	0.6186717
waarin/pp	0.77663213	0.5639103	0.7707717	0.80510336	0.7015523	0.6237508	0.8649451	0.86185205	0.76602924	0.9198375	0.7930669	0.8048773	0.8338399	0.8147094	0.60217977	0.77528626	0.7857173	0.8074199	0.75944865	0.0	0.85474813	0.72063684	0.87394243	0.71792924	0.8618872	0.72497344	0.6627321	0.7660259	0.81236917	0.72343516	0.7656642	0.67614084	0.8443464	0.91003364	0.77005756	0.8511797	0.88730913	0.89190584	0.8214749	0.8490467	0.83379215	0.8091859	0.6001848	0.800881	0.82929945	0.84043133	0.8572128	0.72481024	0.7331021	0.780056	0.8264065	0.8122401	0.7023068	0.75870305	0.5903842	0.87762356	0.8667763	0.85959446	0.7495308	0.7207601	0.78495234	0.6961905	0.85039765	0.8551695	0.7604299	0.8108866	0.8162916	0.7399124	0.7964686	0.593623	0.819174	0.8313937	0.6823391	0.7871196	0.6575613	0.69552255	0.6966087	0.8422587	0.8350761	0.86498886	0.7557042	0.63277745	0.76775706	0.6981398	0.7836693	0.84573245	0.8563169	0.8494992	0.53439647	0.6677458	0.859131	0.8645431	0.8206818	0.8061673	0.7989299	0.68501586
chirurgisch/adj	0.77740145	0.78210187	0.8442216	0.88815963	0.8780398	0.7959858	0.9121927	0.8956749	0.79867905	0.9333137	0.8513957	0.8469383	0.88560516	0.921106	0.75767446	0.86319953	0.8520419	0.87398136	0.83327377	0.85474813	0.0	0.85305375	0.9040827	0.8872577	0.8956512	0.8858356	0.86726844	0.85829353	0.8003149	0.83742845	0.8634111	0.80145574	0.8719936	0.911292	0.8661295	0.84608364	0.89694023	0.88994503	0.885971	0.8845459	0.8173591	0.8459301	0.8895407	0.89835495	0.87603855	0.9026609	0.9028176	0.8593227	0.7422911	0.8498023	0.88812757	0.8601753	0.8378734	0.8628014	0.8133855	0.8810028	0.856571	0.87893903	0.8040353	0.86937094	0.8761129	0.83057165	0.8803749	0.87896633	0.8776612	0.8419801	0.9057893	0.85266733	0.8684795	0.82127047	0.87460035	0.84003717	0.8187377	0.84420055	0.824343	0.84530514	0.847912	0.94421357	0.887723	0.84518206	0.8583704	0.783718	0.85546553	0.8833843	0.89034736	0.8998537	0.8760579	0.8206663	0.7804105	0.83500147	0.89945054	0.90817076	0.8667017	0.85848016	0.7974085	0.86664027
representatief/adj	0.8374893	0.7138516	0.8540423	0.87437356	0.76274526	0.7584268	0.90024245	0.9174127	0.79617655	0.8884358	0.75018424	0.87191486	0.84515923	0.82312274	0.75097156	0.79826903	0.88721585	0.8571357	0.8325877	0.72063684	0.85305375	0.0	0.89406174	0.84023565	0.91785765	0.8450837	0.7628498	0.82907796	0.8437537	0.7972705	0.7684319	0.76171017	0.88851357	0.9115496	0.8713185	0.8620348	0.84795475	0.921023	0.8706517	0.87450165	0.8792737	0.89050776	0.84177554	0.90272456	0.88219553	0.8708282	0.8094599	0.8034929	0.8081323	0.80746806	0.81207204	0.89762324	0.8434615	0.8336364	0.6837547	0.9293297	0.8609405	0.9001461	0.80414176	0.8171372	0.85830057	0.78146386	0.87317145	0.9327265	0.8717607	0.8771097	0.8980041	0.82466817	0.8478912	0.7356653	0.90614766	0.83790445	0.7452915	0.80448323	0.7458336	0.7244115	0.7938731	0.9051641	0.8667559	0.9274759	0.86295724	0.7279483	0.87056893	0.8403068	0.88856876	0.8553202	0.8884249	0.90418684	0.72113127	0.764294	0.88936675	0.92604244	0.84497017	0.804384	0.7948611	0.8024952
naar/prep	0.8380522	0.8396261	0.89239883	0.85481274	0.89539087	0.9001532	0.8284574	0.88951397	0.87702817	0.9231737	0.8994555	0.89113635	0.87530774	0.86105657	0.86048293	0.8706665	0.8561374	0.8549324	0.85597956	0.87394243	0.9040827	0.89406174	0.0	0.9051038	0.8708229	0.8835746	0.7647748	0.86260265	0.89255345	0.84319013	0.87728465	0.8242482	0.9001125	0.9123644	0.818208	0.8629776	0.9241874	0.87778586	0.8539667	0.86424524	0.9268656	0.86815494	0.7613517	0.7373246	0.88956857	0.89258945	0.9266249	0.7749801	0.8028923	0.9100915	0.82981896	0.8756797	0.8417443	0.8515281	0.84365016	0.8967967	0.814871	0.776668	0.83904207	0.85267687	0.89639604	0.8671351	0.90675735	0.88426757	0.84929	0.86276186	0.79794085	0.87815803	0.91196644	0.86305654	0.91370976	0.8609375	0.84623283	0.83344287	0.8848797	0.80751675	0.87711656	0.87449193	0.8642384	0.89058495	0.8423996	0.8667137	0.9035005	0.69041336	0.82937384	0.9046973	0.8213378	0.82455915	0.7824098	0.862151	0.9382506	0.8891175	0.88608885	0.86354804	0.86660594	0.83742523
puur/adj	0.8779129	0.75362045	0.8091782	0.92162234	0.76052856	0.71220887	0.9006742	0.84187865	0.7797005	0.94279516	0.8334125	0.8165204	0.8921957	0.8632956	0.69699657	0.8343662	0.85032415	0.86618704	0.8738197	0.71792924	0.8872577	0.84023565	0.9051038	0.0	0.7894796	0.81959355	0.8009647	0.86274105	0.87826836	0.8610288	0.77807176	0.72616196	0.8767579	0.91066855	0.8100186	0.865819	0.8814397	0.8864609	0.9335339	0.8447355	0.881577	0.8073884	0.86477107	0.8725993	0.8469834	0.8769303	0.8356786	0.8338617	0.7969547	0.7531345	0.87800384	0.8684077	0.77439773	0.7684753	0.7982013	0.8682249	0.8314903	0.86683977	0.79867935	0.76395047	0.81967854	0.7495525	0.86740375	0.9100359	0.7725079	0.79414773	0.8849731	0.71888816	0.8299403	0.79505503	0.8722537	0.7864914	0.7764958	0.802952	0.7680626	0.76888996	0.4298895	0.90191	0.8645781	0.90884155	0.7703789	0.7040792	0.81136787	0.89005625	0.84848064	0.92335343	0.909367	0.8713943	0.7474182	0.8065536	0.9118566	0.9173502	0.7682656	0.7922652	0.87029004	0.80393213
hoop/noun	0.86592656	0.7966479	0.8974932	0.91812545	0.8646241	0.8827858	0.9412223	0.9049843	0.8927914	0.96114826	0.8600352	0.8552395	0.9296368	0.8697413	0.80008596	0.8787512	0.8564865	0.89641523	0.8424215	0.8618872	0.8956512	0.91785765	0.8708229	0.7894796	0.0	0.857152	0.82945096	0.8855071	0.89063305	0.8764571	0.82985044	0.75955695	0.9196488	0.94060886	0.8373391	0.935845	0.93843174	0.85970277	0.9028375	0.8846381	0.93349546	0.88342106	0.87598616	0.7901092	0.819689	0.9116092	0.8577503	0.83735496	0.8058585	0.84455335	0.8890341	0.89034617	0.86115414	0.87312776	0.903892	0.88133997	0.89414704	0.8884933	0.823642	0.87809885	0.8977397	0.8638554	0.9181498	0.895349	0.8701839	0.8669957	0.8927403	0.88422066	0.8958216	0.82294863	0.8739122	0.8149106	0.7919761	0.81133914	0.8810717	0.84463286	0.8437336	0.90133107	0.8771672	0.8991208	0.8556227	0.8531803	0.8463674	0.88906556	0.88120866	0.88857496	0.9400916	0.85507876	0.82690144	0.9020632	0.9516519	0.8875131	0.858547	0.7791158	0.93377936	0.8670803
stuk/noun	0.7991804	0.8233672	0.7368064	0.85998476	0.83736855	0.77732956	0.8540932	0.8531269	0.78114074	0.90794975	0.8458419	0.729547	0.78954357	0.89984965	0.78605807	0.80569416	0.70395994	0.8845486	0.82547826	0.72497344	0.8858356	0.8450837	0.8835746	0.81959355	0.857152	0.0	0.76824385	0.81054914	0.86691546	0.87685114	0.85720545	0.81930923	0.8450707	0.9336884	0.7371423	0.88619184	0.9425522	0.7456026	0.8642396	0.816012	0.77906394	0.76740694	0.83314216	0.7357109	0.7352402	0.88821787	0.92750096	0.7796395	0.7126999	0.7931417	0.8895077	0.81717885	0.7771046	0.7087424	0.81713074	0.73054004	0.7786301	0.83094877	0.79446757	0.872789	0.79799646	0.8085253	0.82276124	0.77776176	0.68802595	0.7720051	0.79590905	0.746686	0.82589257	0.7369442	0.7159492	0.8211076	0.8537984	0.8614086	0.8001617	0.8298673	0.77823365	0.85923237	0.85681736	0.8240713	0.7053962	0.7652979	0.7944176	0.8337912	0.78353703	0.9463655	0.8553782	0.7899574	0.7252597	0.7681818	0.8152693	0.83854574	0.7122195	0.85425633	0.90131295	0.83471745
uit/prep	0.8415977	0.68874156	0.78187424	0.7704829	0.79497755	0.774843	0.8650015	0.86596394	0.8228127	0.91040075	0.74536026	0.7803575	0.8365767	0.8295187	0.75389194	0.79128194	0.7412015	0.79064506	0.752496	0.6627321	0.86726844	0.7628498	0.7647748	0.8009647	0.82945096	0.76824385	0.0	0.7751496	0.8358143	0.8436761	0.82939416	0.7789995	0.8940548	0.89130676	0.7769804	0.86165017	0.8807224	0.8130897	0.79691195	0.7722111	0.85741854	0.79832006	0.6615639	0.7339049	0.8141426	0.8606903	0.8876343	0.74219674	0.7538522	0.89199984	0.8063102	0.7853712	0.77226293	0.77529025	0.73622745	0.81617916	0.83740234	0.8675141	0.75424033	0.8443061	0.8747257	0.8091934	0.8132715	0.7682817	0.7871775	0.814095	0.783588	0.7963675	0.82033443	0.74284726	0.7839542	0.83551025	0.75079125	0.84740365	0.79765695	0.70670897	0.8011021	0.84157234	0.8184235	0.8078091	0.76866114	0.7228849	0.78946984	0.72996527	0.807246	0.87900496	0.83890367	0.74049944	0.6909294	0.6973186	0.85318875	0.84093237	0.8727797	0.8405298	0.8301049	0.78785694
klein/adj	0.85476315	0.7225794	0.72222424	0.7895942	0.82028526	0.7638378	0.8094236	0.8838786	0.804403	0.9151079	0.8631321	0.7545514	0.8074635	0.83038014	0.7301262	0.815649	0.74578524	0.831129	0.7342856	0.7660259	0.85829353	0.82907796	0.86260265	0.86274105	0.8855071	0.81054914	0.7751496	0.0	0.8148645	0.81473786	0.8155952	0.7943759	0.8570564	0.8957344	0.8078549	0.88101906	0.8842118	0.79892033	0.82319695	0.8000754	0.82006204	0.76298773	0.7353513	0.79570407	0.80684245	0.8797384	0.91466063	0.78965133	0.6980028	0.8505583	0.8284852	0.8333315	0.7314641	0.8105533	0.7236633	0.7714348	0.7389071	0.8248273	0.7995789	0.87474954	0.8482104	0.7929809	0.83091336	0.82611084	0.7854508	0.74626935	0.7586119	0.796794	0.8238052	0.71109664	0.76908904	0.7513257	0.7758805	0.82283205	0.84616494	0.770982	0.8357076	0.8160795	0.82361317	0.8379532	0.7277581	0.6791788	0.86769223	0.67525816	0.71104515	0.88538027	0.8501502	0.8192525	0.5840067	0.7208022	0.8409438	0.84541416	0.8067951	0.7881457	0.8559777	0.71723413
magnetisch/adj	0.8301626	0.7615667	0.7857012	0.8886153	0.8756679	0.79933065	0.89526737	0.87749696	0.79856586	0.93842256	0.82496107	0.7412368	0.88538957	0.92178994	0.72794163	0.8390338	0.80994356	0.8605739	0.8640741	0.81236917	0.8003149	0.8437537	0.89255345	0.87826836	0.89063305	0.86691546	0.8358143	0.8148645	0.0	0.8153298	0.8600908	0.77756524	0.8617597	0.94961774	0.8011205	0.8763919	0.9179627	0.8528811	0.8941524	0.84058946	0.8048039	0.73548996	0.84209293	0.8545079	0.8784847	0.89931995	0.86795473	0.8550906	0.68173236	0.8563592	0.8896188	0.8796057	0.82083875	0.8112625	0.7688873	0.8561644	0.83366185	0.8517434	0.80411243	0.85606307	0.8776148	0.8232925	0.8662987	0.858783	0.800282	0.8354714	0.80447775	0.85488033	0.8077276	0.80804396	0.8574784	0.8301077	0.82908356	0.8687998	0.75877315	0.8049568	0.8186432	0.9112438	0.8812623	0.8653809	0.8052734	0.76343083	0.83183336	0.8566593	0.81644773	0.93953913	0.86049485	0.855897	0.7713691	0.7961578	0.8834325	0.8937828	0.87688524	0.84776354	0.81560063	0.8410772
nieuw/adj	0.7682767	0.7104266	0.76903796	0.8632521	0.7787665	0.7519001	0.8603789	0.8907421	0.71366763	0.9357892	0.87847686	0.83814657	0.7981231	0.7949868	0.67609286	0.84758806	0.87283826	0.87869537	0.79982615	0.72343516	0.83742845	0.7972705	0.84319013	0.8610288	0.8764571	0.87685114	0.8436761	0.81473786	0.8153298	0.0	0.8248311	0.7226153	0.8498908	0.89386785	0.86569774	0.8056776	0.8504777	0.8725859	0.8627497	0.8446559	0.8446594	0.85931486	0.7640663	0.898274	0.86481094	0.85594165	0.83408725	0.74205565	0.70991087	0.8583213	0.7551142	0.897741	0.7866364	0.826067	0.6274651	0.9041978	0.73046875	0.82471424	0.8138724	0.7406857	0.85532963	0.76062584	0.8654264	0.8711529	0.8616123	0.887868	0.8707721	0.7900802	0.82216585	0.69091153	0.895769	0.80915964	0.7200757	0.6932684	0.8092714	0.6346139	0.8195618	0.88122684	0.85293645	0.92241406	0.83332634	0.6960325	0.88623226	0.7885183	0.80723494	0.8622805	0.8703492	0.88874376	0.6520915	0.7027044	0.91802883	0.8934239	0.85931337	0.77406573	0.82676435	0.7739364
met/adv	0.8152544	0.66799915	0.83199155	0.8857592	0.740033	0.72095186	0.88535917	0.84040785	0.7448077	0.91647196	0.7974288	0.81555283	0.8657319	0.7406584	0.7315479	0.78869486	0.92153347	0.83860356	0.7974025	0.7656642	0.8634111	0.7684319	0.87728465	0.77807176	0.82985044	0.85720545	0.82939416	0.8155952	0.8600908	0.8248311	0.0	0.7263919	0.92369443	0.91833186	0.85300386	0.80836314	0.8302073	0.87004447	0.88514304	0.7812346	0.91744536	0.8625504	0.8155198	0.870268	0.90450984	0.8102947	0.76893	0.78720117	0.71941507	0.80228996	0.6882018	0.8885404	0.82283986	0.79687023	0.75448096	0.90709704	0.7867822	0.83024174	0.69736123	0.7961792	0.86344063	0.77633965	0.8370711	0.9364844	0.86095756	0.8188388	0.88370794	0.8458363	0.78659445	0.7917089	0.9163623	0.7023971	0.7434491	0.73017037	0.76402146	0.67796373	0.75965995	0.87551856	0.8379745	0.92558986	0.8665657	0.61382604	0.88392717	0.8453578	0.90589243	0.7995497	0.9171431	0.9116771	0.77276886	0.8154273	0.94162273	0.9320549	0.7581583	0.7131898	0.81092465	0.8459398
die/det	0.67323864	0.5407835	0.8092381	0.8468974	0.7834471	0.74225414	0.8292471	0.7913717	0.7841802	0.9287954	0.73263943	0.75339955	0.83843726	0.798373	0.56779456	0.7324656	0.8249615	0.81710005	0.71971303	0.67614084	0.80145574	0.76171017	0.8242482	0.72616196	0.75955695	0.81930923	0.7789995	0.7943759	0.77756524	0.7226153	0.7263919	0.0	0.85383105	0.8681537	0.7791666	0.9066104	0.8292197	0.84504104	0.8527885	0.84045434	0.867507	0.8161332	0.8024342	0.8055409	0.77586365	0.8483856	0.7290248	0.8673604	0.6333044	0.6810771	0.8035763	0.8053746	0.71354115	0.7514271	0.6426028	0.85428786	0.7954312	0.8025465	0.7245445	0.7614291	0.7826228	0.6834048	0.84766775	0.84681493	0.7814281	0.79436374	0.82894266	0.7801242	0.79992795	0.8155185	0.8069501	0.7357981	0.6004805	0.73933244	0.6991646	0.7174389	0.7178056	0.8537379	0.81200576	0.8882557	0.7760818	0.70570606	0.7569685	0.8200517	0.7969349	0.84980375	0.8537693	0.8342956	0.64317393	0.7395493	0.8773845	0.88305324	0.7996664	0.73894453	0.8213454	0.6543037
lichtgewicht/adj	0.88880825	0.839302	0.81172633	0.86615825	0.87404	0.8691067	0.8933177	0.9080658	0.78859067	0.9451248	0.9299511	0.8423904	0.8856558	0.9268458	0.837031	0.8872625	0.84793717	0.9249784	0.91007596	0.8443464	0.8719936	0.88851357	0.9001125	0.8767579	0.9196488	0.8450707	0.8940548	0.8570564	0.8617597	0.8498908	0.92369443	0.85383105	0.0	0.9432129	0.8478037	0.9141958	0.9056572	0.85979456	0.9019081	0.8707744	0.7193248	0.7914391	0.8817408	0.8829677	0.8284905	0.8716218	0.9410244	0.894127	0.82635844	0.8878601	0.93468726	0.8878707	0.80641145	0.8148985	0.86210126	0.8296616	0.80349505	0.89134204	0.8759862	0.9029641	0.902519	0.87877303	0.9078057	0.8191024	0.83618575	0.8163427	0.89876425	0.8374381	0.8736417	0.86264944	0.81428	0.8785982	0.8841168	0.86460435	0.9075948	0.87922853	0.8648782	0.9126824	0.9050875	0.8498513	0.81373364	0.8210221	0.86582345	0.8798979	0.833678	0.9471805	0.8336094	0.8598659	0.8166805	0.8557509	0.836158	0.9043607	0.88864875	0.90006614	0.9412308	0.8881749
neem/verb	0.90630066	0.8628708	0.92228633	0.9003105	0.894414	0.91601956	0.89950025	0.919724	0.9100885	0.9395832	0.8841503	0.877127	0.9321821	0.90247846	0.8504781	0.59742284	0.9017384	0.8917927	0.8623131	0.91003364	0.911292	0.9115496	0.9123644	0.91066855	0.94060886	0.9336884	0.89130676	0.8957344	0.94961774	0.89386785	0.91833186	0.8681537	0.9432129	0.0	0.88139486	0.92910933	0.9083709	0.9163708	0.90095127	0.9180351	0.93712974	0.894362	0.8760532	0.93055415	0.9110559	0.9308617	0.9140618	0.8862563	0.8324578	0.9058928	0.9035491	0.8876169	0.82619387	0.92637223	0.9039074	0.8931194	0.8931569	0.8672228	0.8936663	0.8851544	0.91230494	0.8754375	0.92520076	0.9183551	0.92283577	0.9117347	0.9083918	0.92439115	0.92713845	0.90557593	0.9307538	0.8621688	0.8389612	0.8209127	0.8869145	0.8562568	0.8776045	0.85627323	0.8891918	0.8936111	0.9063722	0.8549295	0.9104204	0.9284361	0.9168401	0.83516383	0.91838676	0.8948672	0.8038895	0.9059342	0.9483402	0.93387717	0.90242577	0.88383585	0.86281073	0.87320286
lading/noun	0.75152284	0.725368	0.6689074	0.81396097	0.85516036	0.7878799	0.79728013	0.88869095	0.7792083	0.9298854	0.79304063	0.5123666	0.8345532	0.8892662	0.7208625	0.7409419	0.7408712	0.6945196	0.7539236	0.77005756	0.8661295	0.8713185	0.818208	0.8100186	0.8373391	0.7371423	0.7769804	0.8078549	0.8011205	0.86569774	0.85300386	0.7791666	0.8478037	0.88139486	0.0	0.88900405	0.88799804	0.5273945	0.8367324	0.6838921	0.8321825	0.6314322	0.84902084	0.72578573	0.7611753	0.8938446	0.9033356	0.8295258	0.69500583	0.80951685	0.87319916	0.7566304	0.7419523	0.71586496	0.80586416	0.54135156	0.76977324	0.84853625	0.7752429	0.82928216	0.8689825	0.80608743	0.7403175	0.75364816	0.7941047	0.7548085	0.8012785	0.80711937	0.7900192	0.76568365	0.76966345	0.7745346	0.7774657	0.85571676	0.77939	0.80531573	0.7480482	0.79419124	0.7861114	0.7898808	0.7688034	0.7194267	0.8372136	0.81161773	0.8502759	0.8908618	0.8134314	0.7271389	0.7239342	0.7449515	0.871738	0.8036019	0.8053378	0.80403817	0.7915338	0.8031131
