	goud/noun	fabrikant/noun	vervanging/noun	diesel/noun	bier/noun	hoe/adj	middel/noun	nog/adv	bus/noun	hoofdzakelijk/adj	vlag/noun	pc/noun	amusement/noun	krediet/noun	medicijn/noun	BMW/name	alles/noun	effectbejag/noun	vrij/adj	internet/noun	techniek/noun	Kinepolis/name	oog/adj	vlees/noun	product/noun	vervoer/noun	om/comp	stuk/noun	woning/noun	type/noun	overigens/adv	arbeid/noun	versie/noun	factuur/noun	luchtvaart_maatschappij/noun	relatief/adj	mode/noun	te/comp	die/det	kop_DIM/noun	zo/adv	antibioticum/noun	extreem/adj	maaltijd/noun	model/noun	onderwijs/noun	dollar/noun	euro/noun	kleding/noun	en/vg	meestal/adv	vlucht/noun	ticket/noun	ding/noun	uitgave/noun	erg/adj	rommel/noun	hout_soort/noun	het/noun	grond/noun	elektriciteit/noun	kantoor_ruimte/noun	kool/noun	kwaliteit/noun	ze/pron	programma/noun	arbeid_kracht/noun	huisvuil_zak/noun	niet/adv	charme/noun	consument/noun	iets/noun	Gill/name	eten/noun	truc/noun	boek/verb	aandeel/noun	abonnement/noun	winkel/noun	trip/noun	tarief/noun	grafiek/noun	zo/adj	echt/adj	formule/noun	appartement/noun	bewering/noun	prijs/noun	populist/noun	genees_middel/noun	stroom/noun	vooral/adv	gerecht/noun	spul/noun	hotel/noun	merk/noun	mest/noun	tweewieler/noun	sperma/noun	pak_DIM/noun	leven_middel/noun	paraplu/noun	Konmar/name	productie/noun	flink/adj	alternatief/noun	lijn_dienst/noun	dat/det	wao/noun	huur_woning/noun	kamer/noun	bel/verb	inseminatie/noun	lening/noun	opvang/noun	spul_DIM/noun	bedrijf_investering/noun	merkelijk/adj	pin/verb	heel/adv	makelaar/noun	devaluatie/noun	strafschop/noun	Brussel/name	Unilever/name	rook/verb	inkoop/noun	reis/noun	rij_auto/verb	lekker/adj	juist/adv	uiteindelijk/adj	strafschop_doelpunt/noun	vaak/adj	technologie/noun	heruitgave/noun	permanent/adj	grondstof/noun	veel/adj	ster_restaurant/noun	telecom_aandeel/noun	maatschappij/noun	coke/noun	was_poeder/noun	wij/pron	rij_DIM_huis/noun	artikel/noun	bedrijf/noun	aanzienlijk/adj	ham/noun
te/comp	0.8635314	0.7323132	0.79180765	0.83146465	0.85482156	0.72010607	0.7038389	0.7466182	0.7955119	0.7956617	0.8581594	0.7339437	0.8347938	0.7147934	0.73641634	0.7839494	0.6707001	0.8666184	0.834654	0.7389957	0.74789774	0.77165353	0.8801674	0.824223	0.7599416	0.7635585	0.30695438	0.82289547	0.79925054	0.8498031	0.7332911	0.72837627	0.89028585	0.76878524	0.7349937	0.8254984	0.8711716	0.0	0.5963418	0.82251155	0.7136319	0.7678851	0.79554874	0.79643303	0.7985349	0.7731933	0.8362812	0.8498823	0.79989946	0.73733175	0.7501865	0.79882365	0.8258913	0.74102885	0.78274846	0.87472236	0.7892479	0.91150576	0.8684334	0.77711713	0.7953515	0.8201185	0.81783295	0.78762627	0.45423943	0.812768	0.77522784	0.8304763	0.6119487	0.83977544	0.6679567	0.73833895	0.8719312	0.79207253	0.7350353	0.9348336	0.82252276	0.7861011	0.8176911	0.7912345	0.7687601	0.83134735	0.8854499	0.7848448	0.74554074	0.83771706	0.7704381	0.8220254	0.8467824	0.7245898	0.7778301	0.80036926	0.7686048	0.74473226	0.84546876	0.7910464	0.755113	0.7981962	0.8122611	0.8046013	0.8079226	0.8127937	0.82863927	0.7805512	0.74124104	0.7772707	0.8326574	0.6531106	0.7618985	0.7635786	0.82702214	0.8790265	0.8691436	0.7502272	0.7851946	0.8190409	0.8731307	0.88567555	0.82127374	0.8242273	0.7326561	0.828621	0.8456334	0.8533118	0.76232153	0.7943306	0.79123664	0.8241634	0.77870363	0.83972627	0.74803793	0.64304936	0.91303957	0.7221241	0.7284195	0.87649894	0.7447968	0.8017316	0.74901164	0.92718214	0.8787415	0.6877552	0.8358606	0.87914	0.5303128	0.9002641	0.8587799	0.6787989	0.76671076	0.8618451
die/det	0.8401908	0.7824659	0.79451734	0.8230226	0.82756716	0.7054911	0.80025476	0.77415335	0.8597554	0.74215627	0.8512474	0.7895752	0.7711356	0.78999317	0.7895422	0.83411115	0.7141193	0.8358368	0.79457164	0.79752827	0.7176678	0.8375701	0.8217911	0.83605266	0.77787906	0.8366202	0.59741247	0.81930923	0.8907679	0.75398564	0.61082685	0.7242429	0.84326863	0.7676693	0.8385725	0.74780166	0.7650127	0.5963418	0.0	0.8213916	0.7058457	0.79701316	0.67610455	0.8151107	0.7532921	0.8058945	0.866504	0.8814817	0.7634068	0.7086248	0.658844	0.84457785	0.8654788	0.70972013	0.7896094	0.79390866	0.7825142	0.8749205	0.7903358	0.8199939	0.8162958	0.8684718	0.81942225	0.75846326	0.6427799	0.81174755	0.80904746	0.8390959	0.6641546	0.73491704	0.7290292	0.7578895	0.87035704	0.8119241	0.7259306	0.89041656	0.8589932	0.8207706	0.8604342	0.82543683	0.7712854	0.7812274	0.7888386	0.7116859	0.7481103	0.88758755	0.7316205	0.8233991	0.8442538	0.7557071	0.77444845	0.71751046	0.82752603	0.7679262	0.87614876	0.772268	0.7731228	0.84042704	0.8182875	0.77969134	0.8105328	0.7906902	0.8377743	0.83837605	0.7677448	0.83859205	0.8868444	0.5996071	0.7741596	0.83075714	0.85096776	0.8726854	0.8723146	0.8015673	0.8349795	0.8186309	0.8755959	0.8745308	0.8330161	0.7274215	0.7835022	0.84179306	0.8466491	0.90639514	0.80527925	0.82980263	0.82294905	0.833266	0.7778381	0.8285433	0.59283674	0.712983	0.90392554	0.6501198	0.728021	0.8703613	0.76665413	0.8122184	0.7075691	0.9118493	0.87839127	0.7242828	0.8419719	0.87855434	0.6411167	0.8586871	0.7960172	0.7992244	0.7513472	0.83813065
kop_DIM/noun	0.8409337	0.8594112	0.870031	0.84062374	0.5515882	0.86807585	0.91654205	0.8604592	0.86533046	0.8442421	0.7992052	0.84679824	0.82467437	0.90050507	0.86160344	0.8523458	0.8043456	0.9107808	0.8574252	0.9055451	0.8708313	0.9221778	0.7688671	0.63703954	0.8218356	0.9107086	0.84684944	0.7565389	0.88665015	0.79799664	0.8807882	0.8909601	0.8447554	0.8998051	0.93009293	0.8662249	0.8578006	0.82251155	0.8213916	0.0	0.7898153	0.88226724	0.8450018	0.6075263	0.8181379	0.94795734	0.92113054	0.90757	0.7359308	0.6359619	0.73014414	0.89686316	0.8797422	0.84975725	0.9070532	0.82073	0.7651324	0.8754781	0.9203632	0.7876698	0.8626682	0.88315904	0.6756439	0.89150196	0.73340034	0.8914006	0.90625596	0.8633206	0.87885284	0.82396996	0.8654861	0.8187328	0.9432508	0.607044	0.84670174	0.93646526	0.9316421	0.88704324	0.8116849	0.84739745	0.9183984	0.8713931	0.8595351	0.83110535	0.8709446	0.84824574	0.90554845	0.862368	0.9150187	0.8919632	0.8580648	0.86432827	0.75854784	0.7410986	0.8221513	0.8494859	0.81049466	0.8785218	0.8421102	0.61878234	0.8040651	0.76490927	0.89656675	0.8776382	0.74327564	0.89474624	0.9515315	0.8938309	0.92951465	0.9202442	0.7424692	0.8895901	0.95835036	0.9238387	0.91809654	0.7804829	0.95730627	0.9093808	0.86435604	0.79331416	0.84676313	0.93968356	0.90672433	0.9342284	0.89310217	0.79607964	0.8836152	0.8747616	0.8572109	0.5699543	0.8825496	0.881403	0.9378638	0.8079277	0.9014065	0.9182848	0.8861016	0.81187457	0.82050973	0.89885676	0.93513554	0.914222	0.8060553	0.80234253	0.85090035	0.86869323	0.91505826	0.9282988	0.90562665	0.6296799
zo/adv	0.9165637	0.85390484	0.86039066	0.8505292	0.84213793	0.46042025	0.8403429	0.7625136	0.9353107	0.87150747	0.9260733	0.8515477	0.78798413	0.88269806	0.8678421	0.87169456	0.6989968	0.8175001	0.7088375	0.8580498	0.767542	0.8833318	0.73766917	0.8405541	0.8347732	0.87889606	0.7403501	0.699667	0.93973386	0.74324536	0.7024257	0.84106576	0.7999642	0.89103466	0.90319604	0.74787295	0.8040667	0.7136319	0.7058457	0.7898153	0.0	0.8263695	0.71013236	0.8429694	0.78353065	0.89181465	0.9493805	0.95834917	0.80632704	0.7344121	0.68555546	0.8978219	0.9456098	0.5736916	0.8800702	0.4295612	0.8517767	0.87099326	0.65218234	0.8800338	0.9102416	0.8926518	0.8474618	0.84082174	0.6066388	0.81771296	0.85384136	0.92719716	0.6507474	0.77846	0.76497364	0.63003004	0.88419974	0.7989507	0.7688733	0.917681	0.9268446	0.9131281	0.89862484	0.80687845	0.88245887	0.8459158	0.40209943	0.6267228	0.74427795	0.9315658	0.804505	0.8888869	0.81847256	0.8503051	0.87121606	0.74476916	0.81979036	0.8180656	0.90986353	0.84047633	0.8612797	0.87317944	0.872188	0.8436682	0.87231326	0.8504497	0.8719368	0.872172	0.8739822	0.79767555	0.92880666	0.62415373	0.8553847	0.89608306	0.8861066	0.89396423	0.8950084	0.90623057	0.8931728	0.836809	0.9132354	0.8559766	0.85429585	0.41658944	0.81038964	0.8943237	0.91604364	0.95326483	0.8444027	0.84495807	0.88037676	0.8455978	0.7724649	0.67739445	0.6791514	0.8374773	0.96045125	0.64533573	0.80608284	0.8869694	0.9087093	0.85526454	0.60483503	0.94189274	0.9035069	0.818269	0.8735727	0.907002	0.6591288	0.85083133	0.8663398	0.8856902	0.8349171	0.85415983
antibioticum/noun	0.91312313	0.78015727	0.8453579	0.79247904	0.8157495	0.8440095	0.5744496	0.8713645	0.93221706	0.8219384	0.938959	0.80258393	0.87415147	0.84595376	0.42535132	0.88256896	0.86896545	0.91180956	0.87511533	0.84756005	0.7423966	0.9166191	0.904446	0.7204015	0.64440453	0.79684544	0.76038104	0.86348283	0.8963343	0.77118504	0.8056623	0.8111551	0.86361563	0.8475325	0.893564	0.80505264	0.8881988	0.7678851	0.79701316	0.88226724	0.8263695	0.0	0.798977	0.82009834	0.81998694	0.8632493	0.9029097	0.9160036	0.82509947	0.7747969	0.76034164	0.89914054	0.9078151	0.87271553	0.828892	0.8472271	0.8133815	0.84556973	0.892963	0.86818194	0.82167083	0.85667205	0.80120456	0.8464241	0.815418	0.89281934	0.80094427	0.8255307	0.8322659	0.8897162	0.76387644	0.9022815	0.9111365	0.8041166	0.8228198	0.92234355	0.89071584	0.86994547	0.8846557	0.9003575	0.8420718	0.9100702	0.8709787	0.9018879	0.8276637	0.9226726	0.8492901	0.8481854	0.93516076	0.45397878	0.83339536	0.84303653	0.8572334	0.7585346	0.93908024	0.8189485	0.68294746	0.9027383	0.72900224	0.8405406	0.7292228	0.87019384	0.9110218	0.77240896	0.80854785	0.79601794	0.92908967	0.8285321	0.83150244	0.8490734	0.9164426	0.9187763	0.8651957	0.86921924	0.83323324	0.86436003	0.90836203	0.8876512	0.90128696	0.8533751	0.86935383	0.89449877	0.9368686	0.95184517	0.8700769	0.7526259	0.84739476	0.91913044	0.82837015	0.8894126	0.833661	0.87482166	0.95353144	0.7676306	0.74518806	0.90327716	0.8577696	0.7087235	0.8098384	0.93181837	0.90774953	0.84839934	0.8177544	0.7893328	0.83832973	0.9145998	0.8858474	0.81566805	0.7883884	0.8167595
extreem/adj	0.90215	0.8563698	0.868053	0.8297296	0.8542364	0.7413255	0.8021305	0.888194	0.9145609	0.76750815	0.89801747	0.854604	0.786876	0.8662388	0.792101	0.8672266	0.8631327	0.8246845	0.7622744	0.86160725	0.75104624	0.88921106	0.7987015	0.8455881	0.8199202	0.8333529	0.7816499	0.8091506	0.9047632	0.74605685	0.7695673	0.75667727	0.83603114	0.89788246	0.8790815	0.640886	0.7721634	0.79554874	0.67610455	0.8450018	0.71013236	0.798977	0.0	0.8601841	0.78331983	0.85952306	0.90347856	0.92387146	0.78863776	0.6181164	0.666905	0.83883816	0.95747775	0.8304901	0.85065985	0.6240336	0.8671074	0.88303906	0.8796476	0.8635907	0.83337045	0.89516973	0.8458823	0.8128544	0.802887	0.85718954	0.8499668	0.9274586	0.8450337	0.77751315	0.7860216	0.8450503	0.9202858	0.8374067	0.82074714	0.9057267	0.9076748	0.91163564	0.89747167	0.846926	0.8438188	0.8210119	0.66180295	0.77955514	0.80968	0.92137384	0.8028437	0.8650229	0.7751723	0.79937536	0.7979356	0.6530521	0.8822768	0.8650209	0.90759254	0.8366764	0.82439166	0.8712216	0.8641862	0.8881575	0.85816973	0.85551155	0.91348976	0.8322631	0.7476546	0.83199745	0.9391657	0.78380144	0.83625466	0.88912505	0.8962809	0.9373965	0.9029199	0.88264173	0.878427	0.903587	0.8580933	0.8493759	0.8939458	0.68070054	0.85215944	0.8229133	0.94207275	0.9301177	0.85365605	0.82110304	0.8805106	0.8619261	0.7910857	0.8375013	0.6173248	0.8545764	0.95663726	0.5896472	0.77891177	0.902036	0.79438573	0.8024271	0.68543255	0.94591224	0.8882319	0.7437954	0.86051834	0.9214894	0.8376438	0.8901528	0.8793021	0.87067467	0.6957796	0.88179666
maaltijd/noun	0.88706285	0.80224913	0.83995163	0.8171043	0.5452672	0.8763506	0.83679795	0.87982845	0.82661265	0.77663195	0.8788949	0.80183893	0.7718783	0.83083415	0.7397952	0.8747494	0.83187497	0.94528717	0.8413282	0.83074296	0.8184321	0.8947023	0.83084285	0.5760385	0.6714413	0.7693994	0.79034793	0.77952594	0.8620785	0.79249716	0.84302497	0.79930305	0.8123493	0.817508	0.8548957	0.8279714	0.82758963	0.79643303	0.8151107	0.6075263	0.8429694	0.82009834	0.8601841	0.0	0.7983951	0.86406124	0.8874416	0.83360577	0.6766189	0.6440068	0.69625217	0.8069622	0.7756326	0.8608396	0.81119543	0.8569684	0.7963393	0.85372627	0.9234991	0.8656809	0.78301454	0.8640665	0.6768187	0.8097659	0.7628237	0.7689457	0.84724224	0.7967568	0.87961864	0.8422271	0.7592614	0.8486935	0.91235924	0.3811282	0.84052926	0.88800865	0.89677626	0.7623132	0.77229947	0.7486378	0.8296915	0.86993635	0.9086819	0.8403535	0.78051615	0.83206826	0.90999323	0.7535393	0.9241631	0.76242596	0.81735134	0.8058605	0.5848451	0.74319905	0.7256106	0.7897195	0.8075881	0.86539686	0.82820815	0.6804635	0.6716212	0.81717426	0.8717936	0.7940788	0.79843754	0.797571	0.8770215	0.8869778	0.90934134	0.847804	0.7530712	0.8571701	0.92242026	0.85641694	0.76543427	0.81030744	0.93440247	0.8820862	0.8584242	0.81049573	0.8310635	0.9294667	0.94347894	0.8855324	0.84835887	0.76194483	0.74749243	0.7535567	0.8188276	0.56734824	0.8663357	0.8878034	0.9679847	0.8001738	0.8437176	0.87361103	0.8483214	0.75215036	0.80026746	0.7780096	0.93207985	0.82765615	0.80231535	0.7822345	0.8051101	0.8603256	0.8981273	0.86205345	0.8572035	0.6325429
model/noun	0.8439112	0.6447165	0.8046275	0.7610973	0.7802684	0.79910254	0.7857323	0.8827042	0.88063586	0.74457836	0.78798246	0.693143	0.8053141	0.8574273	0.7393233	0.7225205	0.8251065	0.890543	0.821715	0.76620436	0.5980309	0.8452211	0.7209405	0.8369725	0.62328905	0.83501613	0.80160713	0.74019337	0.8279189	0.60796773	0.78474313	0.82611704	0.57838285	0.8277234	0.79683053	0.7629649	0.6586765	0.7985349	0.7532921	0.8181379	0.78353065	0.81998694	0.78331983	0.7983951	0.0	0.84369814	0.89510894	0.8936312	0.601552	0.69046664	0.73598325	0.883986	0.8648633	0.8237772	0.794477	0.803562	0.8278567	0.78165805	0.90840065	0.8532481	0.80984414	0.8121189	0.8513197	0.7735534	0.80424714	0.7227888	0.81279683	0.83110344	0.8673485	0.77855706	0.7714512	0.84297144	0.8937291	0.86793375	0.7654085	0.8881681	0.8480577	0.7916454	0.7402159	0.84552515	0.787496	0.7022165	0.8288285	0.8380586	0.55435133	0.82352304	0.8374771	0.78489363	0.8826774	0.71099836	0.8290519	0.7535517	0.80587626	0.7417601	0.80793583	0.54443073	0.83703566	0.83125526	0.81152433	0.7583656	0.79828954	0.81969005	0.8100772	0.7465048	0.8698916	0.71441174	0.88248885	0.8498214	0.86129713	0.8065283	0.8124691	0.93493193	0.8977168	0.85383296	0.8584256	0.81415564	0.8981029	0.8856866	0.86233073	0.7914835	0.7719334	0.8809699	0.9692194	0.9087192	0.80229366	0.90737545	0.8367604	0.8598589	0.8585489	0.85130477	0.7487925	0.8902799	0.97896135	0.77747035	0.65589875	0.8352062	0.81595564	0.7853987	0.8253273	0.8874345	0.90593916	0.72431487	0.86776125	0.8358965	0.83778685	0.81025314	0.7970334	0.7600177	0.8281029	0.8679948
onderwijs/noun	0.971727	0.8748939	0.8222835	0.89874953	0.93810195	0.8942328	0.7316469	0.9168167	0.91992027	0.7783968	0.96291226	0.87060195	0.8257819	0.8093989	0.8025346	0.92716444	0.9160167	0.942506	0.82874084	0.8258066	0.75004154	0.9020278	0.94284964	0.93433356	0.80130225	0.6345804	0.7539782	0.939189	0.8898978	0.88150424	0.8526689	0.6457577	0.9032113	0.8794689	0.8669117	0.7777419	0.85019356	0.7731933	0.8058945	0.94795734	0.89181465	0.8632493	0.85952306	0.86406124	0.84369814	0.0	0.8883693	0.8696405	0.84668434	0.7126171	0.8665745	0.90663105	0.93981856	0.90247947	0.6808344	0.9149889	0.93838286	0.9260777	0.9398106	0.91796887	0.81866944	0.84793353	0.92044103	0.66411287	0.88811326	0.81757355	0.7326996	0.8858501	0.8971699	0.9240075	0.7753909	0.9140531	0.93849784	0.9005312	0.9133655	0.92774767	0.8789851	0.8601598	0.9160019	0.92775124	0.79483	0.87966007	0.92503506	0.9022643	0.8429578	0.93468535	0.8824423	0.87101275	0.9343536	0.7727241	0.8627849	0.733277	0.919629	0.92895633	0.9292773	0.8763513	0.8824572	0.9113039	0.905129	0.9480336	0.8643379	0.93638045	0.91885275	0.7990485	0.85943556	0.80408216	0.89770275	0.87128884	0.73535	0.7914006	0.9166878	0.9624874	0.9122758	0.8184905	0.623013	0.9410111	0.862654	0.8688681	0.9243939	0.88654315	0.88465273	0.87985265	0.9648468	0.86378074	0.85974044	0.8724811	0.8359956	0.91713536	0.87848294	0.96609694	0.7208302	0.91431534	0.9773514	0.83800715	0.69987315	0.9122992	0.7792619	0.85459185	0.8223558	0.96626335	0.91212994	0.69030905	0.9355906	0.9346107	0.82247424	0.9485825	0.8875838	0.78420395	0.7476782	0.9476376
dollar/noun	0.80831146	0.80402684	0.9106792	0.8169171	0.8845341	0.9711557	0.8695225	0.9064086	0.9286138	0.8458644	0.9313134	0.8604597	0.9433261	0.65933204	0.8564305	0.85832566	0.93279433	0.9657095	0.9295235	0.86418647	0.9470424	0.798625	0.9657827	0.91847175	0.81686246	0.8850816	0.8555417	0.88254535	0.8941384	0.9333028	0.8655289	0.83295304	0.93041456	0.74756455	0.71360284	0.76930535	0.96596444	0.8362812	0.866504	0.92113054	0.9493805	0.9029097	0.90347856	0.8874416	0.89510894	0.8883693	0.0	0.2299959	0.89442587	0.8971628	0.8946517	0.9028835	0.78554714	0.96913743	0.71716833	0.947413	0.9236764	0.9450286	0.9730907	0.875574	0.8537367	0.8636828	0.8865741	0.90398264	0.91266817	0.95264703	0.84927523	0.8127734	0.94970894	0.94770175	0.78474987	0.9414199	0.9274725	0.93363315	0.92184734	0.6774543	0.4664675	0.7797608	0.88848567	0.88724834	0.7474178	0.86864305	0.9545095	0.95659316	0.907122	0.9037202	0.93617934	0.66943634	0.9599969	0.82089674	0.82725704	0.8686495	0.9436967	0.8559524	0.92338514	0.8658611	0.891891	0.94901735	0.92544854	0.8764676	0.8507168	0.92543983	0.9037557	0.77956456	0.68227553	0.9119724	0.90437496	0.88299274	0.90089405	0.8436134	0.931462	0.9601361	0.9521571	0.5865251	0.899294	0.8975499	0.78714716	0.8547225	0.87394154	0.94966763	0.82130253	0.7762863	0.9167113	0.92254275	0.6639639	0.94494563	0.804528	0.8911031	0.9144657	0.974035	0.9138962	0.84988546	0.93892545	0.9366692	0.86929816	0.9384981	0.92714757	0.78632164	0.8759084	0.94948024	0.7617548	0.85509664	0.90361893	0.93582714	0.91846794	0.93318963	0.9482517	0.65406436	0.63238347	0.945111
euro/noun	0.854142	0.82817364	0.8957666	0.79289746	0.87303567	0.97553873	0.8532026	0.9110392	0.898807	0.8530742	0.951094	0.83707505	0.9471172	0.66699386	0.85697126	0.8521459	0.9342376	0.97348946	0.9246071	0.842177	0.93467796	0.7876437	0.96773076	0.92140293	0.81573236	0.8511081	0.86049986	0.88150823	0.85926837	0.9366981	0.8773611	0.83208036	0.9246378	0.7057767	0.75506496	0.78690135	0.97152686	0.8498823	0.8814817	0.90757	0.95834917	0.9160036	0.92387146	0.83360577	0.8936312	0.8696405	0.2299959	0.0	0.88591635	0.88442403	0.89069444	0.8954113	0.6881039	0.96775717	0.69795185	0.9607507	0.9239128	0.9638529	0.97269815	0.8798996	0.8241784	0.834948	0.8912276	0.9049129	0.91592276	0.9412068	0.8655537	0.7559346	0.94700366	0.95416147	0.79788804	0.9388195	0.931077	0.91408044	0.9302218	0.6833222	0.5346902	0.67756456	0.850105	0.89110214	0.71591485	0.8730025	0.9648709	0.957383	0.8947402	0.88232356	0.9494968	0.6658372	0.95941997	0.8174791	0.84839505	0.8892163	0.9258029	0.85095465	0.90573	0.8728436	0.8949657	0.9368942	0.9343412	0.8371883	0.8485873	0.93297756	0.87369686	0.8339583	0.68696904	0.92033434	0.8952484	0.8963693	0.87525976	0.82240605	0.8973685	0.9369471	0.95559794	0.6163023	0.87936246	0.8955052	0.8339628	0.85721	0.84002024	0.95279306	0.8353133	0.8380244	0.9262191	0.8964424	0.7022084	0.94177216	0.8037365	0.8758392	0.90594286	0.95968753	0.9208723	0.8496938	0.93311083	0.94056666	0.87950444	0.9414413	0.9176366	0.8444306	0.89119416	0.93251073	0.80538535	0.8697889	0.9003979	0.92034763	0.9187166	0.9380381	0.93499136	0.7080153	0.64524275	0.9205463
kleding/noun	0.8035015	0.67787564	0.8259936	0.79536235	0.6949461	0.8368875	0.8156924	0.89218324	0.8374101	0.75548726	0.73488617	0.7392126	0.7662119	0.8718092	0.7048946	0.76689076	0.780403	0.88568205	0.84424484	0.80423045	0.71257067	0.8842698	0.7080806	0.70654476	0.63971364	0.7867849	0.79011846	0.72919214	0.80003965	0.65967155	0.8293387	0.8267746	0.7786641	0.82593334	0.8817805	0.8154727	0.5875003	0.79989946	0.7634068	0.7359308	0.80632704	0.82509947	0.78863776	0.6766189	0.601552	0.84668434	0.89442587	0.88591635	0.0	0.56852925	0.6781244	0.8704369	0.8306178	0.7893582	0.7990128	0.8091638	0.70327926	0.7648436	0.9151038	0.80565035	0.77453226	0.8094247	0.75892997	0.7919374	0.7034811	0.8193444	0.8664578	0.8009112	0.8598072	0.7753915	0.73290646	0.80807346	0.9102175	0.63370246	0.7776381	0.8966912	0.89299	0.7967477	0.6306669	0.83612645	0.86219907	0.7711353	0.84831405	0.8250947	0.7699603	0.780934	0.8719672	0.78290594	0.8977285	0.7355481	0.79991704	0.7521977	0.7956657	0.5241004	0.7632906	0.6281816	0.7836324	0.7859299	0.81428003	0.58435225	0.63642955	0.7096099	0.8575825	0.7630825	0.82882524	0.81012905	0.93556	0.8638694	0.89631206	0.8368689	0.7367346	0.8864778	0.9299435	0.8937838	0.8288705	0.6568911	0.94855326	0.90540105	0.8190178	0.7733644	0.7984407	0.9351182	0.9624433	0.91139513	0.83576643	0.79930365	0.7491622	0.7919824	0.80472815	0.71311414	0.784941	0.89106214	0.97494245	0.7321463	0.7509587	0.86551577	0.83552766	0.73008716	0.7833945	0.8895258	0.9311696	0.8309636	0.7947254	0.73507667	0.85514075	0.8299473	0.81677604	0.8487025	0.84266937	0.7823913
en/vg	0.7658716	0.7325983	0.7281666	0.77002174	0.654411	0.75507337	0.72896385	0.87034607	0.7635057	0.5768542	0.7476436	0.7449287	0.67741954	0.8332649	0.7153634	0.7734062	0.76966333	0.8529637	0.70169336	0.75882757	0.6229779	0.84359014	0.64142185	0.631039	0.66877663	0.68933636	0.6942972	0.623599	0.7557712	0.642855	0.81701505	0.6862354	0.7533009	0.80580294	0.8391811	0.6775944	0.6460562	0.73733175	0.7086248	0.6359619	0.7344121	0.7747969	0.6181164	0.6440068	0.69046664	0.7126171	0.8971628	0.88442403	0.56852925	0.0	0.5622119	0.8149875	0.8737943	0.81951034	0.7620084	0.7212457	0.7170032	0.8062391	0.915878	0.7155794	0.6978091	0.7849047	0.65288424	0.6721262	0.6519939	0.76019174	0.7703749	0.83688325	0.8721253	0.6706345	0.71948135	0.8319499	0.85729873	0.603137	0.7237888	0.8765298	0.8820595	0.824503	0.7071575	0.7800751	0.8254607	0.73815125	0.7442216	0.7619921	0.7671224	0.7523435	0.76774275	0.7710278	0.82754934	0.73788416	0.7282846	0.5578284	0.7175156	0.6712929	0.7355	0.72844326	0.70324683	0.7917868	0.761017	0.6522143	0.6762744	0.70028406	0.85792917	0.69581795	0.69645846	0.76270753	0.89041024	0.8752629	0.80941373	0.809292	0.69922817	0.82672256	0.8819543	0.8643539	0.7422078	0.7455555	0.8949473	0.8183433	0.8337946	0.6866943	0.74397457	0.8757309	0.90454555	0.82637584	0.8215096	0.7304373	0.7436761	0.7823832	0.7589689	0.6263753	0.64290226	0.804668	0.9448727	0.59704375	0.6712901	0.84956586	0.6772553	0.6468446	0.6487502	0.90310633	0.91307074	0.6996081	0.7603476	0.788492	0.7920037	0.8295089	0.819624	0.76454186	0.7249587	0.68881214
meestal/adv	0.8497492	0.8074918	0.8083756	0.82946885	0.73364365	0.73281515	0.78852284	0.7833356	0.81658715	0.6222304	0.8471413	0.76299274	0.74579036	0.8144138	0.7360848	0.8279374	0.740366	0.8447777	0.6888748	0.8141693	0.7393995	0.86196756	0.72962767	0.7252618	0.75593776	0.79466033	0.7421355	0.7006557	0.8306248	0.67665416	0.6633755	0.768626	0.7939689	0.8022601	0.8827082	0.6417675	0.7740542	0.7501865	0.658844	0.73014414	0.68555546	0.76034164	0.666905	0.69625217	0.73598325	0.8665745	0.8946517	0.89069444	0.6781244	0.5622119	0.0	0.8111848	0.8689509	0.74895453	0.8186841	0.68473583	0.7655475	0.8321394	0.83221436	0.819559	0.8099177	0.84459215	0.75565183	0.77788484	0.63258517	0.82409614	0.7901639	0.8492993	0.743067	0.7575308	0.74908054	0.74717927	0.8687489	0.678149	0.7493452	0.87943083	0.8725294	0.80757743	0.7861398	0.7881247	0.81239974	0.7967421	0.7463231	0.73480225	0.7480279	0.8118169	0.7851738	0.8157967	0.8497257	0.7553462	0.77620727	0.6268683	0.7671418	0.723395	0.77868587	0.78391534	0.7868531	0.8241487	0.7763175	0.7279998	0.78055745	0.7527491	0.8558516	0.79610056	0.73901397	0.8163282	0.9076358	0.72773266	0.8194355	0.82867867	0.75460494	0.82145345	0.8730328	0.8314881	0.7679493	0.8114828	0.9073987	0.8392672	0.8132865	0.65671444	0.7510222	0.878192	0.89678866	0.9093011	0.8431421	0.7338541	0.81425536	0.7720131	0.75435424	0.66770935	0.6944027	0.7232081	0.9401899	0.385413	0.8025054	0.8858775	0.79628843	0.7719242	0.66283584	0.88398373	0.90828425	0.81898546	0.7950692	0.84641474	0.7499457	0.8111595	0.8414985	0.82868755	0.7875861	0.78386104
