	eind/adv	verhouding/noun	evengoed/adv	dan/adv	daarom/pp	nog/adv	uzelf/pron	daar/adv	gips/noun	mentaal/adj	wel/adv	binnen/adv	ziel/noun	voor/comp	verschrikkelijk/adj	maar/adv	behoorlijk/adj	ertegen/pp	twijfel/noun	net/adv	om/comp	bijna/adv	Amsterdammer/noun	al/adv	overigens/adv	Chris/name	kind/noun	sinds/comp	lucht/noun	tegenslag/noun	alleen/adv	weekend/noun	zo/adv	eenmaal/noun	amper/adv	snel/adj	plots/adj	meestal/adv	hitte/noun	andapos;s/adv	simpelweg/adv	anders/adj	bloem/noun	Lelièvre/name	makkelijk/adj	's/adv	ze/pron	wereld_DIM/noun	niet/adv	stank/noun	zeeman/noun	tijdens/prep	weer/adv	bovendien/adv	als/comp	thuis/adv	tot/adv	student/noun	toch/adv	karakter/noun	men/pron	soms/adv	haar/pron	intussen/adv	zich/pron	golfplaat/noun	door/prep	Verhaegen/name	Schneider/name	zodra/comp	pupil/noun	verdriet/noun	ik/pron	geur/noun	tegen/prep	kaas/noun	gewoon/adj	dat/det	werk/noun	pijn/noun	hier/adv	mij/pron	toen/comp	zonder/prep	hen/pron	hij/pron	we/pron	even/adj	zodat/comp	me/pron	provincie_raad_lid/noun	evenwel/adv	wanneer/comp	dag/noun	huid/noun	concurrentie/noun	leven/noun	volgens/prep	blijkbaar/adj	week/noun	vaak/adj	wat/pron	beetje/noun	eerst/adv	zolang/comp	Ronaldo/name	wieler_sport/noun	spier_pijn/noun	beton/noun	nauwelijks/adv	Lance/name	hem/pron	angst/noun	ondanks/prep	speler/noun	er/adv
wel/adv	0.9298759	0.86213577	0.76434445	0.5405066	0.6262114	0.6020076	0.78070503	0.75119853	0.9333578	0.82210976	0.0	0.8981381	0.8826057	0.76589924	0.71873164	0.5927743	0.68438816	0.8841066	0.84619963	0.84047675	0.6856821	0.8831196	0.8062167	0.728245	0.61851215	0.9263028	0.85098886	0.9009971	0.92604345	0.8375196	0.7030833	0.8974119	0.6105933	0.8028395	0.80292714	0.7806413	0.7960841	0.7261508	0.87494797	0.8676587	0.7612893	0.7191502	0.9327006	0.87037176	0.7646765	0.86967623	0.5878168	0.7828111	0.47496206	0.8811424	0.8999658	0.93897337	0.72766566	0.63315797	0.5369251	0.8278737	0.83582896	0.8765187	0.3730563	0.82015157	0.5675621	0.6139207	0.75335145	0.7629274	0.84497553	0.94865054	0.91255116	0.8662492	0.8665272	0.77710384	0.8532216	0.86457944	0.47620225	0.8668371	0.92767024	0.8949361	0.66223794	0.5192745	0.8679319	0.8341722	0.69326437	0.61273205	0.852878	0.82179236	0.7555174	0.6641606	0.54509157	0.66690236	0.78785443	0.6282393	0.951828	0.6521305	0.676689	0.885501	0.89024806	0.86768913	0.8423639	0.875406	0.56942344	0.8939041	0.7007947	0.59694076	0.6054548	0.7617349	0.70513237	0.8631071	0.82939464	0.87105453	0.92204446	0.676105	0.84908617	0.73601127	0.86360085	0.81928563	0.8060051	0.6844288
binnen/adv	0.9014755	0.9495104	0.8236489	0.7644091	0.90510523	0.85208756	0.8898233	0.6984924	0.83430773	0.91091084	0.8981381	0.0	0.85185313	0.7681093	0.85946864	0.8338048	0.8361949	0.8772982	0.95024204	0.8143002	0.8329598	0.8511445	0.8495914	0.8767157	0.9078374	0.9225522	0.89087045	0.8892523	0.6702165	0.90331864	0.82834494	0.7997567	0.86610216	0.7478683	0.8104756	0.8230992	0.68472916	0.75000954	0.7086208	0.67377913	0.8370335	0.8986461	0.74691874	0.9182397	0.83421254	0.6451024	0.7206919	0.8607069	0.9148106	0.7707622	0.90435535	0.89262587	0.7680858	0.8539573	0.8003273	0.7522465	0.8827659	0.9027166	0.83581877	0.9142332	0.851081	0.79538167	0.8146086	0.81524616	0.8960063	0.73862666	0.7937299	0.8782514	0.8900865	0.7324298	0.8532872	0.87633556	0.8479618	0.7347996	0.85986584	0.7738291	0.7693189	0.9405287	0.9291569	0.89343524	0.76190627	0.89265496	0.72482777	0.78471076	0.86237526	0.8137815	0.84463704	0.72175276	0.68940365	0.8798833	0.9512415	0.8241263	0.7687941	0.82079273	0.74369097	0.9294943	0.911285	0.95079374	0.8631908	0.90659475	0.8441232	0.92772585	0.8249856	0.7256016	0.8759477	0.8457726	0.89078224	0.89869094	0.70087117	0.87670034	0.8930665	0.8519219	0.8934176	0.8813132	0.9201009	0.8096183
ziel/noun	0.95018137	0.826251	0.74423647	0.8468199	0.8615341	0.88208115	0.81296784	0.81195796	0.8791162	0.86248773	0.8826057	0.85185313	0.0	0.83189845	0.7866898	0.8361822	0.8405881	0.8853662	0.83038837	0.859854	0.83522004	0.8362198	0.82125354	0.8985487	0.89352334	0.89335835	0.8240223	0.8464691	0.79876864	0.86955273	0.801956	0.90795976	0.808611	0.8128638	0.86923814	0.8911518	0.80741787	0.79815567	0.8220758	0.88045746	0.8097687	0.89963126	0.8083917	0.9253769	0.88394755	0.8834571	0.7365205	0.8293289	0.8789195	0.8560253	0.78916025	0.9074952	0.8471563	0.84621394	0.81724924	0.88665193	0.8751672	0.8645092	0.8432924	0.7235924	0.8229013	0.7014086	0.7453919	0.82403946	0.8279091	0.8947566	0.79727584	0.8982919	0.8601116	0.7922342	0.8537451	0.6818306	0.81253606	0.7618992	0.906553	0.88026834	0.8541183	0.8879656	0.8577297	0.7429304	0.79677576	0.7925628	0.8624532	0.8346881	0.81461835	0.76652277	0.8748848	0.8299382	0.8183713	0.8051567	0.95645434	0.85317457	0.75518334	0.90223074	0.67804444	0.92144334	0.71696246	0.9153056	0.81513786	0.9432735	0.7788334	0.8540321	0.7858225	0.85824275	0.83234406	0.8591821	0.8244082	0.90200025	0.8061423	0.83166283	0.8760309	0.79784405	0.73217964	0.8913487	0.9045276	0.88300484
voor/comp	0.69462883	0.9110097	0.7881422	0.5986786	0.76907873	0.66492647	0.82346153	0.6784227	0.8473671	0.8374716	0.76589924	0.7681093	0.83189845	0.0	0.82583773	0.7519952	0.8339195	0.8550551	0.88589394	0.72400963	0.67223716	0.79283166	0.833562	0.6879629	0.84285766	0.9117148	0.804948	0.7042923	0.8063435	0.8454691	0.81290144	0.79196817	0.83475083	0.55200034	0.7492157	0.63609296	0.6654105	0.73406374	0.7754587	0.6846436	0.76503855	0.8477287	0.8417564	0.8604619	0.7532431	0.6685967	0.5701071	0.8590753	0.7533661	0.8316082	0.82198626	0.80724686	0.6450935	0.8060455	0.59143865	0.7393067	0.81104696	0.84115595	0.7669078	0.9170595	0.72626495	0.782639	0.74278414	0.6305396	0.8797206	0.8852254	0.8010948	0.8571104	0.84777015	0.46041638	0.85378426	0.84713703	0.69706106	0.8374808	0.86820686	0.85629344	0.7193978	0.832685	0.865798	0.839609	0.71974945	0.8286766	0.5650718	0.72089386	0.7508354	0.6249912	0.690604	0.6461874	0.64275503	0.82688195	0.8996094	0.7706803	0.5332631	0.71039414	0.8245811	0.8933005	0.8579154	0.87785554	0.7699557	0.6953002	0.79201895	0.82961226	0.83900774	0.55223274	0.7028508	0.82142836	0.8486073	0.88431835	0.81809443	0.79928166	0.8429861	0.7469882	0.8467759	0.8882876	0.8420733	0.72156906
verschrikkelijk/adj	0.9419128	0.87192273	0.740136	0.7204365	0.79997116	0.83566755	0.8350622	0.78220934	0.90616846	0.8051475	0.71873164	0.85946864	0.7866898	0.82583773	0.0	0.74798477	0.6494199	0.87139237	0.85749406	0.82790995	0.8231643	0.85079736	0.81001127	0.8475296	0.8198637	0.91427225	0.7925559	0.81010425	0.84403676	0.7672795	0.757296	0.889199	0.6398662	0.79856807	0.88517815	0.83914334	0.7266576	0.70411235	0.7409241	0.8363148	0.7719744	0.78505456	0.89174944	0.8755064	0.83920145	0.8304053	0.6339022	0.8063829	0.7722259	0.7539008	0.81001073	0.8480315	0.8053176	0.7793065	0.62325025	0.8241975	0.8414084	0.8866037	0.6824113	0.8260892	0.77006906	0.53281415	0.7244454	0.8235252	0.81426567	0.91324854	0.7602891	0.89426416	0.8801626	0.78554946	0.8543531	0.68661296	0.61171955	0.80515516	0.83707994	0.9101338	0.70763457	0.73945236	0.89590824	0.69571745	0.73268914	0.6971339	0.7563559	0.81461114	0.77558553	0.695752	0.7648177	0.7652491	0.8408807	0.6938392	0.95958036	0.79951745	0.6646904	0.8131201	0.83206326	0.88977927	0.7310977	0.8940398	0.7304041	0.8927952	0.6163197	0.745254	0.59931	0.846552	0.7909634	0.8454137	0.84194505	0.8498455	0.85829115	0.8158982	0.83578277	0.7644428	0.6789746	0.76928675	0.8565086	0.805108
maar/adv	0.9260952	0.8755073	0.757043	0.5268066	0.7071527	0.60320556	0.79899865	0.7613119	0.9045058	0.86608416	0.5927743	0.8338048	0.8361822	0.7519952	0.74798477	0.0	0.78479517	0.87427956	0.8485704	0.8221078	0.7532805	0.8099698	0.7940328	0.7928045	0.75613135	0.93924975	0.84249216	0.87837625	0.8764812	0.84194815	0.53699166	0.898181	0.6535177	0.785707	0.68293077	0.80568445	0.81492394	0.65213037	0.8533335	0.82477444	0.74909884	0.73966074	0.86803603	0.9030262	0.7727126	0.8150236	0.5979545	0.8212578	0.65224373	0.8596926	0.8948232	0.94072384	0.71893954	0.75197625	0.594926	0.77516186	0.81783736	0.88156253	0.5627227	0.8576757	0.6371913	0.63531387	0.7434919	0.7814181	0.87903595	0.9208116	0.8913282	0.8785123	0.89070225	0.76856196	0.8345686	0.8270053	0.5524212	0.84368575	0.91991204	0.834886	0.59705806	0.6497896	0.8850823	0.8253846	0.7144566	0.6774566	0.8441564	0.8442857	0.7996736	0.6894131	0.59985226	0.64422244	0.77754486	0.7129189	0.95596725	0.75908935	0.699588	0.82729125	0.8384453	0.8628738	0.82629615	0.93074	0.71404505	0.8770845	0.70377517	0.6472001	0.6749997	0.7319011	0.74614733	0.85751104	0.8424272	0.8915725	0.8619706	0.7272126	0.8490181	0.7561848	0.80627644	0.8430511	0.8442841	0.74363875
behoorlijk/adj	0.9313333	0.7594118	0.74261713	0.7475983	0.7496464	0.77979785	0.8397588	0.8089399	0.9071841	0.6976583	0.68438816	0.8361949	0.8405881	0.8339195	0.6494199	0.78479517	0.0	0.8857897	0.8574144	0.8066595	0.7615204	0.79420567	0.7821103	0.81566155	0.7637598	0.8928853	0.8518027	0.8190993	0.81838083	0.7586001	0.71724236	0.8485936	0.6430048	0.7954476	0.7693136	0.75474817	0.7271476	0.677415	0.7441964	0.8457881	0.74315363	0.80865157	0.87536716	0.9203064	0.7893758	0.8501132	0.7309339	0.796067	0.76761574	0.8326641	0.8696317	0.8665324	0.7355213	0.58809733	0.69485873	0.8269178	0.76856446	0.82759655	0.6183425	0.727342	0.7857238	0.5693169	0.82629734	0.776265	0.82870406	0.89614254	0.77046764	0.864404	0.84697616	0.7546496	0.81770724	0.82623875	0.7289927	0.7998272	0.8678546	0.82023424	0.7555083	0.7300103	0.82764065	0.81444746	0.7857308	0.7929422	0.82420355	0.77456164	0.8365226	0.7693299	0.716804	0.72621703	0.68510103	0.7640029	0.9362434	0.6916498	0.7029809	0.83506435	0.8015723	0.80087113	0.8256664	0.87690216	0.66592824	0.86818564	0.6643032	0.81219435	0.5519509	0.8026817	0.76864946	0.81655097	0.82771707	0.8614485	0.8194966	0.6691159	0.82843465	0.8360894	0.81835246	0.66096723	0.76033396	0.8044356
ertegen/pp	0.93842775	0.8810742	0.8481361	0.84122396	0.81653774	0.91077787	0.887473	0.8543131	0.914577	0.92336166	0.8841066	0.8772982	0.8853662	0.8550551	0.87139237	0.87427956	0.8857897	0.0	0.903557	0.90349156	0.804562	0.9029223	0.8792862	0.89383805	0.8383868	0.9430019	0.866398	0.86803555	0.8814515	0.9014821	0.84101844	0.94026464	0.8760887	0.87510353	0.9106357	0.88668525	0.8594997	0.8483428	0.8642671	0.8927494	0.83534473	0.9178805	0.920893	0.91592073	0.8694695	0.8981777	0.8113579	0.89392734	0.8731141	0.8813655	0.89373845	0.90945953	0.8725113	0.8421712	0.8199258	0.89552337	0.8459934	0.8609837	0.8775574	0.8691153	0.8395499	0.8371832	0.84977925	0.8503424	0.8376577	0.9365307	0.8220446	0.91654354	0.89897025	0.81884557	0.9000468	0.8712028	0.86920434	0.89178026	0.663517	0.93145096	0.8593462	0.87601805	0.9001077	0.8917669	0.8893609	0.8652893	0.8518919	0.8517582	0.8385628	0.82378525	0.8763206	0.86876017	0.8154471	0.85980797	0.90917903	0.815704	0.807464	0.9213681	0.88104683	0.8709488	0.8910638	0.85929316	0.85150766	0.9292895	0.8234348	0.89964116	0.88935393	0.8458918	0.7912576	0.88987905	0.8925768	0.934502	0.87299454	0.8547007	0.90579873	0.8455571	0.82609546	0.8668234	0.9101199	0.8774367
twijfel/noun	0.9283139	0.8359946	0.8418699	0.86408085	0.8431785	0.8385314	0.8489964	0.89893156	0.93662566	0.83297354	0.84619963	0.95024204	0.83038837	0.88589394	0.85749406	0.8485704	0.8574144	0.903557	0.0	0.9351776	0.82743156	0.93212	0.8585828	0.8684673	0.78253675	0.92178935	0.9288794	0.8578141	0.94153523	0.79692304	0.7884046	0.93426883	0.8588983	0.893246	0.9089062	0.8653188	0.86583334	0.85518354	0.87856746	0.95390654	0.844033	0.91374695	0.9358742	0.91338545	0.90855974	0.96505445	0.8711035	0.87608594	0.84616613	0.9058069	0.9086763	0.9285617	0.87573016	0.77978915	0.86826825	0.9552688	0.83502	0.9211266	0.81258076	0.83724296	0.8260212	0.8169571	0.88101876	0.82292104	0.8802986	0.9504442	0.82251465	0.9303638	0.89328986	0.84298277	0.88926685	0.70561975	0.89122987	0.90448856	0.8852019	0.9487276	0.9423974	0.81792533	0.9185995	0.78589135	0.8873879	0.85937643	0.8951979	0.8542408	0.854933	0.84313834	0.8879723	0.89027905	0.87538284	0.90987974	0.96510136	0.7389102	0.8056239	0.94039387	0.9146514	0.84818786	0.85652566	0.83590215	0.79714835	0.90717995	0.8212924	0.8380188	0.8843465	0.8934046	0.7933938	0.8802011	0.8771063	0.8923437	0.9161427	0.841853	0.8831624	0.8524397	0.5964149	0.7744942	0.88168925	0.81755036
net/adv	0.8533685	0.89392716	0.78194267	0.75636387	0.8830974	0.768664	0.872266	0.7702178	0.8864282	0.86861706	0.84047675	0.8143002	0.859854	0.72400963	0.82790995	0.8221078	0.8066595	0.90349156	0.9351776	0.0	0.8498982	0.8005906	0.8159094	0.82327557	0.8676664	0.8534967	0.84901834	0.78551227	0.87145734	0.83369035	0.8271131	0.8307003	0.8236214	0.72052836	0.75590426	0.7957106	0.73401093	0.7656029	0.85655206	0.7930185	0.8173361	0.8321772	0.8530337	0.9396256	0.8386309	0.79144514	0.75404406	0.88020664	0.8454551	0.8920849	0.8704524	0.8394823	0.74985874	0.84323215	0.71657777	0.79243636	0.8543189	0.88334525	0.77588135	0.8946303	0.87628424	0.78384155	0.819726	0.8213713	0.8935014	0.9203559	0.8322787	0.8314065	0.84678704	0.7378174	0.8508781	0.8728776	0.7643163	0.8560284	0.86377937	0.8762063	0.758138	0.87198555	0.8882856	0.8674127	0.76776385	0.84116125	0.659193	0.82934153	0.8648838	0.73740435	0.77410144	0.728212	0.8069327	0.8529995	0.9522724	0.8225036	0.696452	0.7943345	0.8318232	0.9033744	0.8541936	0.94255537	0.81069326	0.80356324	0.79207504	0.8782887	0.8055601	0.7748769	0.87163234	0.7532935	0.88792807	0.9038494	0.86365926	0.8416356	0.8068646	0.8449415	0.8834349	0.88187075	0.8433003	0.8634998
om/comp	0.8345319	0.81740785	0.7632068	0.6855885	0.5048894	0.74515736	0.75000834	0.7673561	0.8938007	0.7606889	0.6856821	0.8329598	0.83522004	0.67223716	0.8231643	0.7532805	0.7615204	0.804562	0.82743156	0.8498982	0.0	0.8668728	0.79831105	0.80656636	0.7508768	0.926473	0.7937843	0.80939275	0.85689926	0.8141651	0.7150862	0.83307153	0.7403501	0.72835433	0.82333565	0.6992853	0.8018104	0.7421355	0.81368256	0.79758435	0.6408667	0.86332226	0.8756665	0.8676015	0.68103564	0.8158079	0.6159133	0.8262174	0.6967509	0.8294029	0.84291476	0.871647	0.7277614	0.5781046	0.6393106	0.8119753	0.77145076	0.7419528	0.68783176	0.8163593	0.62208927	0.7478304	0.74564344	0.70244443	0.7807506	0.9055755	0.7613895	0.85427547	0.8610013	0.64176226	0.79593027	0.8507985	0.7324041	0.84050393	0.7831004	0.86714756	0.74286973	0.72230047	0.8239727	0.8377735	0.77314126	0.75576514	0.8333119	0.68658805	0.6402442	0.71256095	0.61640793	0.7529193	0.56064093	0.7652591	0.8673991	0.68566275	0.65265363	0.8317814	0.84565836	0.793705	0.8255771	0.8186584	0.6773685	0.83735704	0.718958	0.80867517	0.7981093	0.64973676	0.6112801	0.83416307	0.78799427	0.8871135	0.82423574	0.7340886	0.81286067	0.72817874	0.7972921	0.76740444	0.78819543	0.74076265
bijna/adv	0.81855786	0.8534832	0.82354975	0.78883123	0.8694525	0.7934406	0.91349405	0.8481924	0.8897686	0.8745464	0.8831196	0.8511445	0.8362198	0.79283166	0.85079736	0.8099698	0.79420567	0.9029223	0.93212	0.8005906	0.8668728	0.0	0.8339871	0.7767952	0.8163743	0.92754424	0.8650229	0.8149424	0.861196	0.8629033	0.8355427	0.87833416	0.812562	0.8056208	0.616513	0.81171054	0.78916514	0.76832354	0.82258385	0.872191	0.82050383	0.8996702	0.86649454	0.93747795	0.85833883	0.85882974	0.81306654	0.8889666	0.84655	0.88462937	0.8610357	0.87186074	0.7954677	0.7969911	0.8123169	0.875157	0.83326393	0.85979944	0.81946486	0.8491278	0.85894376	0.7256907	0.8485557	0.7965567	0.91184264	0.8918917	0.83646476	0.91583455	0.86883605	0.76862454	0.8795318	0.82252175	0.8632538	0.8792645	0.9001671	0.89113826	0.8470944	0.8188677	0.8636789	0.86678815	0.8294703	0.8813261	0.80136997	0.8741726	0.8644408	0.8298471	0.8335273	0.82553476	0.7648628	0.8876831	0.95760435	0.8089362	0.7722263	0.78082985	0.8329234	0.87838507	0.8421202	0.9027873	0.85064644	0.82106966	0.77871275	0.87963766	0.8344722	0.8839759	0.84186983	0.8434688	0.88157946	0.9326339	0.8255822	0.7857342	0.88210166	0.8666241	0.8595512	0.82435924	0.9048148	0.83282065
Amsterdammer/noun	0.87406266	0.8890986	0.7801659	0.789013	0.7702733	0.8119712	0.85292053	0.7911141	0.9176533	0.8367902	0.8062167	0.8495914	0.82125354	0.833562	0.81001127	0.7940328	0.7821103	0.8792862	0.8585828	0.8159094	0.79831105	0.8339871	0.0	0.8052438	0.7654894	0.87931377	0.73907065	0.81003755	0.90743864	0.8371297	0.80160254	0.8126172	0.767991	0.8008205	0.78810203	0.8157834	0.81066006	0.7523437	0.8442772	0.8583971	0.7827114	0.8438076	0.87604094	0.87564313	0.8161581	0.85428154	0.6905953	0.8130059	0.7975631	0.86051726	0.82321197	0.83983487	0.80541945	0.740936	0.76848	0.7880049	0.78897715	0.7317653	0.74889815	0.8265805	0.7688548	0.7572955	0.761335	0.8036836	0.79929703	0.92053884	0.79184335	0.83374643	0.8410517	0.7967148	0.78023165	0.8177744	0.7529908	0.843788	0.80706775	0.8873932	0.7820896	0.83846503	0.8632267	0.82942075	0.7508889	0.7567294	0.7976302	0.8236675	0.737767	0.69212437	0.72983307	0.81293476	0.78683877	0.7694477	0.9156512	0.7809755	0.7673701	0.8320201	0.87776875	0.8400811	0.83632416	0.87156874	0.76708096	0.8233729	0.70341885	0.8438315	0.7712454	0.82220435	0.7914635	0.76771104	0.842252	0.87452286	0.8686424	0.7679358	0.7825856	0.7489835	0.8108119	0.79613763	0.73860157	0.83662874
al/adv	0.7385458	0.89458984	0.8464784	0.76460177	0.7809855	0.6214067	0.8969106	0.78711945	0.8970995	0.8554369	0.728245	0.8767157	0.8985487	0.6879629	0.8475296	0.7928045	0.81566155	0.89383805	0.8684673	0.82327557	0.80656636	0.7767952	0.8052438	0.0	0.74751174	0.9100661	0.87037104	0.7212465	0.93198305	0.80195916	0.83529127	0.78912896	0.7827919	0.7663777	0.7442337	0.7829269	0.82142746	0.81177413	0.84676874	0.83541	0.8465601	0.86226755	0.9181369	0.8873616	0.8603726	0.8519255	0.7150202	0.8384231	0.79559374	0.87473285	0.8873933	0.8314462	0.7616716	0.7585963	0.79019994	0.8301553	0.7892965	0.8587843	0.7343401	0.92701274	0.7293213	0.80917645	0.838502	0.5973644	0.8456678	0.93465304	0.859898	0.8632395	0.88066816	0.74606824	0.84483564	0.87027365	0.72786975	0.90420353	0.85749376	0.92760545	0.85429	0.8278807	0.87898636	0.87858456	0.76268613	0.83508974	0.7433237	0.86753094	0.84632593	0.6959703	0.6774453	0.8264494	0.8078779	0.82577693	0.91924924	0.7630334	0.77722865	0.7284292	0.92845684	0.8786063	0.8712003	0.8928123	0.7753768	0.6339286	0.7876741	0.8261303	0.8521042	0.7673902	0.8204061	0.81795263	0.8520147	0.89288116	0.91197616	0.8108833	0.843773	0.82333267	0.8896717	0.79518735	0.8249622	0.7108995
overigens/adv	0.85358095	0.782025	0.72645104	0.7386792	0.6187976	0.727252	0.82813823	0.8450987	0.9243978	0.85274345	0.61851215	0.9078374	0.89352334	0.84285766	0.8198637	0.75613135	0.7637598	0.8383868	0.78253675	0.8676664	0.7508768	0.8163743	0.7654894	0.74751174	0.0	0.8795519	0.9037165	0.812061	0.8987143	0.82441413	0.7137155	0.86632687	0.7024257	0.82814693	0.83589256	0.8138623	0.85305226	0.6633755	0.86205715	0.90570664	0.71782225	0.83785474	0.8979698	0.8394326	0.8318801	0.9232777	0.75493896	0.7965579	0.61335987	0.84582067	0.86130977	0.87728095	0.8506463	0.54841864	0.7147114	0.904668	0.6345957	0.8385539	0.6436268	0.7779131	0.65686095	0.6908032	0.7782616	0.73357445	0.78500664	0.920271	0.7630533	0.85592484	0.8074421	0.7797835	0.8297293	0.8338901	0.77253795	0.85551685	0.8240403	0.8886906	0.8236335	0.55943227	0.8207708	0.8729641	0.78366005	0.7055582	0.87802625	0.79224485	0.75851804	0.70309174	0.7715421	0.8194052	0.77765864	0.77775335	0.9062968	0.5051671	0.7168212	0.8818354	0.8862449	0.8061611	0.8712684	0.65353036	0.6776998	0.82746106	0.66248596	0.7139325	0.808653	0.8178915	0.65943944	0.830081	0.78285575	0.8752279	0.89237976	0.68663955	0.8338185	0.73304605	0.80626607	0.6758193	0.8415614	0.7279374
Chris/name	0.92567927	0.92958766	0.8633876	0.92114365	0.90807766	0.9046264	0.92169344	0.93056655	0.90986687	0.9081819	0.9263028	0.9225522	0.89335835	0.9117148	0.91427225	0.93924975	0.8928853	0.9430019	0.92178935	0.8534967	0.926473	0.92754424	0.87931377	0.9100661	0.8795519	0.0	0.91482013	0.84637225	0.96087235	0.88388187	0.9057293	0.8793045	0.90293545	0.8910898	0.90155977	0.9107063	0.8893019	0.8853804	0.9438621	0.9272785	0.8974262	0.94243675	0.9248013	0.9319378	0.9231395	0.93506086	0.85917336	0.904236	0.92234385	0.9458456	0.9091293	0.91407627	0.8900655	0.8881681	0.9128395	0.90890276	0.8734196	0.8742236	0.88662946	0.90276426	0.9099285	0.8801405	0.8438612	0.84358096	0.9158463	0.95102423	0.8064281	0.7236831	0.7143959	0.9011823	0.8568938	0.90622973	0.87908995	0.94547886	0.9011132	0.944854	0.928618	0.9354028	0.8705871	0.9219749	0.92838514	0.8945232	0.8622652	0.8982694	0.89390695	0.7513591	0.89424706	0.8740288	0.91532546	0.9027709	0.874758	0.86988145	0.87974703	0.93879175	0.90928924	0.9217336	0.92822266	0.8546758	0.9021327	0.87280375	0.885925	0.92720073	0.9184245	0.8906578	0.9277483	0.7997614	0.8899927	0.95570725	0.94954157	0.92258424	0.79587436	0.8442405	0.938712	0.9022464	0.80094504	0.94929755
kind/noun	0.9416965	0.87916106	0.7930851	0.8146815	0.8007145	0.89610374	0.81346583	0.7827723	0.8993921	0.76272553	0.85098886	0.89087045	0.8240223	0.804948	0.7925559	0.84249216	0.8518027	0.866398	0.9288794	0.84901834	0.7937843	0.8650229	0.73907065	0.87037104	0.9037165	0.91482013	0.0	0.8379112	0.9181791	0.8725286	0.8131407	0.87475985	0.82893604	0.807243	0.8805967	0.88105834	0.83356965	0.71439254	0.85446095	0.7594191	0.81640756	0.8710211	0.8648527	0.86059433	0.8551895	0.7770846	0.5629361	0.8606061	0.83456683	0.885142	0.78619075	0.8518111	0.8668442	0.7994076	0.7633258	0.6356298	0.88553303	0.66579384	0.84030354	0.87656623	0.81098235	0.76149976	0.61337507	0.8161906	0.87505007	0.9400056	0.78526866	0.9239252	0.9014221	0.825742	0.788125	0.77487475	0.7328422	0.878866	0.9183631	0.90404296	0.75921685	0.8791002	0.88081187	0.81832004	0.7637718	0.77445763	0.78052366	0.82783294	0.6220566	0.7226951	0.8031418	0.8662436	0.8150044	0.76282144	0.9490545	0.90601826	0.7256297	0.8164946	0.84157544	0.91383076	0.78836906	0.9146688	0.8456099	0.89339554	0.6647161	0.8671832	0.8180862	0.8436333	0.8325503	0.87902075	0.8907457	0.8901161	0.9233263	0.86588526	0.88143045	0.7237133	0.8144368	0.91215724	0.85655975	0.86679107
sinds/comp	0.6970746	0.8062004	0.80028695	0.8337685	0.81096464	0.8221214	0.8790105	0.7901942	0.89755857	0.836712	0.9009971	0.8892523	0.8464691	0.7042923	0.81010425	0.87837625	0.8190993	0.86803555	0.8578141	0.78551227	0.80939275	0.8149424	0.81003755	0.7212465	0.812061	0.84637225	0.8379112	0.0	0.8871919	0.795287	0.817931	0.81469125	0.8603588	0.7328429	0.8232788	0.79200983	0.75185955	0.8231841	0.8059069	0.8534672	0.8106527	0.9075986	0.894969	0.8860085	0.8653635	0.86720186	0.7504412	0.8154948	0.8622128	0.8460208	0.823842	0.7773211	0.76707816	0.7766663	0.7608019	0.8464424	0.73161066	0.82043153	0.86424553	0.8534627	0.8618846	0.8424495	0.8041549	0.65211344	0.85872376	0.9262401	0.7055431	0.8820553	0.79543215	0.66837656	0.83914363	0.8405371	0.82759184	0.8762394	0.769512	0.9242465	0.8537265	0.89327484	0.90119123	0.8536195	0.80096287	0.86837125	0.5952093	0.808529	0.8070654	0.7131898	0.85334116	0.8549326	0.80236554	0.87981176	0.8668359	0.7971748	0.6879211	0.7831055	0.8809336	0.83121765	0.82628	0.77796376	0.8408642	0.72197044	0.8027549	0.91114885	0.8706053	0.832652	0.7052973	0.79566777	0.794677	0.8979802	0.86838967	0.8250386	0.8240519	0.81042135	0.7722374	0.7754358	0.8563906	0.82448983
