	om_kade_ring/noun	bijzonder/adj	commentaar/noun	hoe/adj	onnavolgbaar/adj	toneelstuk/noun	variatie/noun	min/adj	reactie/noun	behoorlijk/adj	waanzinnig/adj	combinatie/noun	film_DIM/noun	presentator/noun	Rowan/name	ook/adv	passage/noun	speel_film_debuut/noun	gesprekspartner/noun	zelfs/adv	stuk/noun	antwoord/noun	zeer/adv	anekdote/noun	onwaarschijnlijk/adj	onderdeel/noun	column/noun	gesprek/noun	obsessie/noun	buitengewoon/adj	zo/adv	oneliner/noun	aflevering/noun	typering/noun	onbedaarlijk/adj	moment/noun	script/noun	sketch/noun	vondst/noun	debuut/noun	uitval/noun	werk_DIM/noun	trailer/noun	en/vg	cynisme/noun	draai/noun	genoeg/adv	erg/adj	lied/noun	contrasteer/adj	ze/pron	arrogantie/noun	bijrol/noun	wijze/noun	variant/noun	man/noun	zelden/adj	weerzinwekkend/adj	gedicht/noun	heerlijk/adj	manier/noun	verslag/noun	opmerking/noun	performance/noun	film/noun	duivel_DIM/noun	The/name	bedoeld/adj	toch/adv	verhaal/noun	zo/adj	aankondiging/noun	echt/adj	onweerstaanbaar/adj	heel/adj	mix/noun	scène/noun	soms/adv	vooral/adv	bloes_DIM/noun	vooruitzicht/noun	mengeling/noun	nogal/adv	af/adv	ongelooflijk/adj	voorstelling/noun	gezicht/noun	Self/name	geweldig/adj	Risseeuw/name	aria/noun	even/adv	plaat/noun	rol/noun	gewoon/adj	dat/det	Hot/name	voordracht/noun	ongekend/adj	dandy/noun	lady/noun	musical/noun	heel/adv	hij/pron	kwartet/noun	even/adj	rap/noun	effect/noun	bijdrage/noun	cast/noun	portret/noun	boek/noun	vaak/adj	vers/noun	opvallend/adj	vervolg/noun	wat/pron	beeld/noun	observatie/noun	wissel_af/adj	detail/noun	veel/adj	gast/noun	beschrijving/noun	dialoog/noun	roman/noun	stoutmoedig/adj	karikatuur/noun	satire/noun	of/vg	actie_film/noun
waanzinnig/adj	0.88991404	0.69433194	0.8559118	0.7471816	0.71170026	0.7518384	0.7205374	0.76341593	0.8384067	0.6970279	0.0	0.7085906	0.7389871	0.7721148	0.90052104	0.7945153	0.7456733	0.89378643	0.8370763	0.6981708	0.78481555	0.8772328	0.73447573	0.7108996	0.61992514	0.8195362	0.8315525	0.8886452	0.7694887	0.6887042	0.72562885	0.7531203	0.818369	0.81767243	0.8407113	0.82352674	0.7716557	0.7808912	0.7443812	0.80758107	0.86513746	0.82220846	0.89745826	0.65403414	0.7800046	0.8146962	0.76963425	0.73179805	0.7437613	0.8231362	0.7424203	0.81183434	0.8096938	0.76251554	0.77210075	0.81945837	0.6896169	0.76366067	0.78231287	0.7208283	0.7783379	0.83816975	0.8094675	0.7870164	0.73987246	0.9277541	0.8294489	0.73620635	0.7672094	0.7058195	0.7377086	0.83087695	0.6981268	0.68666553	0.74732447	0.7036174	0.69529736	0.6186851	0.7393596	0.8861931	0.86348045	0.69590735	0.7252154	0.7573457	0.5792348	0.75431246	0.7761198	0.9058361	0.6306442	0.91089296	0.7776725	0.68977857	0.77901936	0.86292744	0.7845748	0.77592057	0.8572076	0.8501965	0.6591728	0.8479158	0.83865875	0.7620783	0.71118337	0.7601095	0.79142857	0.76368356	0.7700777	0.82441187	0.86807334	0.7647176	0.7703713	0.7750837	0.71019685	0.7753707	0.74741757	0.7942706	0.8134614	0.75361586	0.7503494	0.7019124	0.78607035	0.72798276	0.79160595	0.72195244	0.7601384	0.7511574	0.8559507	0.7685997	0.7495655	0.75724554	0.7542429
combinatie/noun	0.81267726	0.651951	0.86806774	0.7917626	0.7089337	0.8044144	0.5842949	0.7049924	0.84947723	0.74827796	0.7085906	0.0	0.7570236	0.8207804	0.9182304	0.7375953	0.7380059	0.87185335	0.8387027	0.73299444	0.7251681	0.8394183	0.66474515	0.74367976	0.7224064	0.75772256	0.84462106	0.8812152	0.7605022	0.67033094	0.72331876	0.7729789	0.85037655	0.7802783	0.8889347	0.790676	0.7779448	0.74718934	0.68045866	0.7457744	0.81658554	0.78735316	0.923331	0.5517682	0.77289	0.730819	0.7330786	0.7165288	0.7371299	0.7401948	0.847551	0.81042475	0.8055403	0.6904576	0.6207533	0.873318	0.7116283	0.8334585	0.7609823	0.66685045	0.69097614	0.8573104	0.8302379	0.7123499	0.7136315	0.9162596	0.8546335	0.76035905	0.7593058	0.72683644	0.7642172	0.8619062	0.74361634	0.6917487	0.8330794	0.40551525	0.7072127	0.6243789	0.634179	0.873675	0.8260695	0.4649915	0.7089137	0.77923083	0.6874943	0.7142494	0.8099865	0.924338	0.7220489	0.91083723	0.77709013	0.6612029	0.70101273	0.82027006	0.80035365	0.79026264	0.84088826	0.7689026	0.70217156	0.8805921	0.8399183	0.7474832	0.67697406	0.86600053	0.7238236	0.8124038	0.7218278	0.707177	0.8249346	0.76818	0.77267957	0.78470635	0.6973765	0.7597369	0.7228943	0.7915699	0.8603352	0.71308607	0.7376063	0.66681933	0.7580121	0.6968719	0.8116169	0.72599673	0.69658434	0.7658897	0.90201885	0.8251503	0.7313175	0.67389536	0.7642744
film_DIM/noun	0.8844763	0.7553083	0.7809509	0.75298226	0.7320129	0.6927731	0.7134827	0.819146	0.8492863	0.8181279	0.7389871	0.7570236	0.0	0.72072446	0.878159	0.7609407	0.67096305	0.84132576	0.8313658	0.77599096	0.7416862	0.85282916	0.7901889	0.64201057	0.7690139	0.81823575	0.7470079	0.81054044	0.80270815	0.7747138	0.7514896	0.7460656	0.6151074	0.8220428	0.89328325	0.8328475	0.680288	0.63059884	0.7045475	0.7892698	0.88728106	0.7013428	0.79785544	0.71170443	0.8362495	0.7829585	0.81734705	0.80414265	0.6749563	0.83957696	0.7736851	0.8465692	0.802132	0.7159519	0.7247188	0.8658052	0.735858	0.820651	0.65305555	0.7828552	0.7335563	0.76482296	0.7809741	0.6842898	0.48649442	0.8783623	0.7667837	0.6935928	0.8177439	0.62060064	0.8140617	0.81128573	0.80026037	0.7618811	0.81166065	0.6970298	0.5580651	0.6773138	0.7776172	0.86834353	0.9012489	0.7594862	0.7418482	0.77156514	0.76352346	0.613006	0.7915432	0.89896995	0.77987236	0.9268956	0.76254374	0.7369179	0.6897758	0.8697698	0.7782197	0.82262313	0.8198916	0.77198315	0.8054873	0.88482875	0.8471625	0.686965	0.7640613	0.8081385	0.7704104	0.80721545	0.7396711	0.832003	0.84497315	0.74562204	0.6633357	0.6832263	0.71735895	0.7616117	0.7561796	0.7908844	0.8197789	0.57574403	0.72902036	0.69645286	0.71455604	0.8367655	0.76957095	0.68453884	0.72514844	0.71948916	0.9075546	0.78414226	0.7352895	0.7323427	0.7073512
presentator/noun	0.8849231	0.80638623	0.7629192	0.83941305	0.7750094	0.78320926	0.8244874	0.8451494	0.8492311	0.8236338	0.7721148	0.8207804	0.72072446	0.0	0.8671996	0.8127055	0.80314636	0.9060318	0.76583266	0.7845432	0.84842837	0.85577035	0.8117788	0.7482469	0.832471	0.87956333	0.71757317	0.77449346	0.8456086	0.8024046	0.7992548	0.7667483	0.67912436	0.8496938	0.8716225	0.8566158	0.79154766	0.74515015	0.83333987	0.8080138	0.86716866	0.82374513	0.9141097	0.7451348	0.8183778	0.86502945	0.86484486	0.8341436	0.7430158	0.90125465	0.74712956	0.8293349	0.8289478	0.7999047	0.80223066	0.8108348	0.73689944	0.87803453	0.78443825	0.8367066	0.81371987	0.7840872	0.7707963	0.80860585	0.72944474	0.90834254	0.77497834	0.79415697	0.8519185	0.79121625	0.85774153	0.81479275	0.8206868	0.7855756	0.8530005	0.78091294	0.7616655	0.74222004	0.7806512	0.91590166	0.9101589	0.78583354	0.7876269	0.777681	0.79463345	0.7695206	0.79410446	0.8854991	0.77789843	0.90964437	0.81949335	0.7783113	0.7663269	0.82832944	0.82682055	0.8780425	0.8312348	0.81690836	0.8405957	0.8541024	0.8126849	0.7636551	0.8302866	0.6919882	0.7791575	0.7975178	0.79082334	0.89882314	0.8617858	0.7420901	0.78182274	0.8030518	0.7561227	0.80408585	0.78715724	0.828722	0.86148006	0.79236984	0.8318215	0.7337602	0.84854716	0.855573	0.62363935	0.8141002	0.7945195	0.8105421	0.9020856	0.79826164	0.76683235	0.82494473	0.82853425
Rowan/name	0.93135774	0.8887506	0.9103461	0.92806154	0.86064863	0.85446453	0.90986884	0.8989885	0.91878647	0.8976425	0.90052104	0.9182304	0.878159	0.8671996	0.0	0.8976918	0.89505047	0.88593745	0.9281212	0.88812774	0.9135226	0.9455712	0.88391685	0.88193	0.8997147	0.9307513	0.89629537	0.9229875	0.8857414	0.885127	0.8988794	0.88394564	0.8703163	0.91040266	0.9327345	0.94438016	0.86886764	0.86920446	0.8988497	0.88207567	0.94585085	0.9256562	0.9288522	0.87327504	0.916235	0.9296336	0.91757476	0.8999624	0.8933743	0.9408372	0.8667994	0.9102576	0.84736866	0.87660223	0.8913622	0.8953642	0.86137414	0.9252242	0.90828705	0.9178386	0.90839255	0.92675245	0.9153429	0.9102621	0.8499099	0.95723426	0.8564781	0.89846975	0.9108509	0.90265405	0.92448485	0.9357481	0.8861747	0.88968843	0.9377564	0.89175224	0.86019886	0.8748452	0.89285874	0.9768991	0.9560238	0.8975191	0.9033967	0.9110039	0.89183736	0.8951868	0.9149654	0.94446254	0.8976122	0.9369297	0.9100222	0.88227564	0.9111135	0.8868826	0.91291344	0.93054914	0.8924055	0.89866626	0.9229564	0.93026644	0.8887314	0.85757023	0.9088516	0.8456521	0.8730663	0.91806006	0.90859926	0.9442365	0.93138754	0.8402334	0.888423	0.9073807	0.89100015	0.9009187	0.91498625	0.9114021	0.9302485	0.9191879	0.903945	0.8528074	0.903063	0.90277517	0.9011767	0.8986484	0.86037695	0.8903614	0.9228346	0.8775326	0.8597548	0.9067511	0.8746118
ook/adv	0.77217066	0.6626003	0.8035728	0.69440645	0.80804515	0.8266341	0.73283386	0.6840336	0.7666772	0.71586525	0.7945153	0.7375953	0.7609407	0.8127055	0.8976918	0.0	0.7871177	0.88931113	0.7523829	0.65851176	0.79911244	0.80195165	0.67283595	0.774184	0.8016591	0.8256	0.8028128	0.8433245	0.82487166	0.710384	0.6834709	0.81559646	0.8435406	0.7997745	0.8875154	0.8219628	0.78949904	0.8349946	0.7703247	0.8498467	0.8194889	0.7941167	0.8835967	0.6885545	0.76664233	0.8166791	0.7336081	0.6693623	0.83021164	0.8766986	0.6474791	0.7895137	0.8508297	0.745608	0.76008344	0.8853615	0.6667402	0.8523817	0.8168565	0.8205602	0.7006062	0.87143743	0.7379121	0.7991133	0.7643743	0.8820653	0.9090139	0.776773	0.57036257	0.787156	0.79585814	0.83008915	0.65425634	0.79624104	0.77861595	0.7462244	0.80166936	0.6659148	0.5374422	0.91536003	0.8377594	0.77703786	0.662727	0.73962784	0.72463036	0.77203554	0.8523504	0.9126585	0.73696613	0.8626329	0.8616576	0.7985137	0.8054274	0.8029438	0.69493306	0.5895743	0.85508335	0.8044491	0.8022895	0.88711387	0.86885345	0.830829	0.6105844	0.69261193	0.81854177	0.77032095	0.81865436	0.75263953	0.75349617	0.7904322	0.84144014	0.78291106	0.61337817	0.83388263	0.7393038	0.8091713	0.6728685	0.8026751	0.78736514	0.7936007	0.75652957	0.6031525	0.762591	0.7678033	0.75556505	0.83145463	0.8777281	0.8203339	0.80843145	0.7235389	0.84946805
passage/noun	0.87878203	0.6913928	0.68342495	0.753273	0.6929427	0.66895825	0.69362926	0.75359124	0.78185797	0.7886086	0.7456733	0.7380059	0.67096305	0.80314636	0.89505047	0.7871177	0.0	0.8683413	0.7924713	0.7118115	0.6786268	0.78993416	0.67380345	0.5882784	0.7521616	0.8068372	0.65264344	0.8094935	0.75431025	0.68447816	0.7122759	0.72090334	0.75040853	0.75433624	0.89894193	0.7457313	0.706029	0.72474146	0.67049617	0.7560725	0.821543	0.7340407	0.89531493	0.71119946	0.7766256	0.7744875	0.76046175	0.7301353	0.6010257	0.79916215	0.8012922	0.8170408	0.8334486	0.65015614	0.7427223	0.8758877	0.679108	0.8233013	0.52587163	0.78575665	0.7342994	0.68044645	0.6626467	0.74690676	0.65229833	0.9231842	0.76832485	0.7078402	0.803726	0.5333662	0.762812	0.7768696	0.8281481	0.72004825	0.80446523	0.73024356	0.5060061	0.56472266	0.7567495	0.9056039	0.855798	0.7039013	0.650622	0.7305582	0.73830974	0.6582928	0.7982204	0.8971842	0.7982805	0.9179965	0.66816425	0.6566633	0.69834167	0.81430084	0.88619256	0.796826	0.86611843	0.7424129	0.7841828	0.85286665	0.8442959	0.77590823	0.7216838	0.77276266	0.7430415	0.78588676	0.74885416	0.8048344	0.7966119	0.7761587	0.65817034	0.5762402	0.65575504	0.60046506	0.74308646	0.77886343	0.8151591	0.62356764	0.6332861	0.66839194	0.6149359	0.798682	0.8539348	0.57534117	0.6359624	0.5601332	0.89561486	0.7860609	0.68626034	0.7774699	0.78452885
speel_film_debuut/noun	0.92121494	0.83492076	0.8796352	0.899175	0.8660154	0.773231	0.8837282	0.89730644	0.9126823	0.89375997	0.89378643	0.87185335	0.84132576	0.9060318	0.88593745	0.88931113	0.8683413	0.0	0.90678304	0.9017825	0.86033064	0.93171936	0.839179	0.8579192	0.90589666	0.91839874	0.91137177	0.93258715	0.8799907	0.8434616	0.88816047	0.882311	0.86803555	0.8913214	0.95522	0.9048359	0.835642	0.8482059	0.8732495	0.74911916	0.9345647	0.8808984	0.9040085	0.8689897	0.8903096	0.8637654	0.8674732	0.86466944	0.8676256	0.912416	0.9317156	0.9328904	0.80631363	0.8419923	0.8586435	0.92929053	0.8842466	0.91484356	0.85946	0.88982797	0.8503824	0.8920988	0.9095973	0.8560503	0.708683	0.9405247	0.84627587	0.87308234	0.88864416	0.8241089	0.90689033	0.9242482	0.9024362	0.8657174	0.9380574	0.831504	0.76050305	0.85831374	0.85880154	0.9748946	0.92289025	0.8696321	0.8727998	0.9301058	0.8875804	0.77187335	0.91722214	0.93718493	0.90215683	0.9704286	0.8517715	0.84407467	0.86240315	0.89406717	0.9519513	0.91859657	0.9241891	0.9106984	0.892172	0.9322022	0.9029001	0.77001244	0.8468404	0.9096544	0.86678046	0.91253763	0.8959421	0.93133724	0.89893484	0.78220546	0.7774073	0.8604303	0.8805832	0.8964663	0.8844346	0.85901463	0.9340042	0.84606284	0.8616468	0.8643844	0.85634476	0.895899	0.9138403	0.87549514	0.83855844	0.80620706	0.9209913	0.8885378	0.84102917	0.9240625	0.8076899
gesprekspartner/noun	0.8446424	0.7999359	0.78556967	0.76414335	0.81148374	0.85768336	0.8358981	0.79138905	0.7900249	0.8401773	0.8370763	0.8387027	0.8313658	0.76583266	0.9281212	0.7523829	0.7924713	0.90678304	0.0	0.7722762	0.85515046	0.790845	0.74152714	0.80169535	0.8320638	0.8482426	0.82864326	0.72874427	0.81402576	0.7753718	0.76363885	0.8178059	0.88880575	0.8371372	0.90927225	0.8352821	0.83912903	0.85087335	0.85783935	0.89135253	0.848273	0.86230516	0.9309432	0.7384861	0.8120028	0.850475	0.82167983	0.8002983	0.8417547	0.88848364	0.72165537	0.79526	0.8670588	0.7626247	0.7965668	0.8340968	0.74456525	0.88455224	0.84106755	0.8632631	0.7587404	0.82878536	0.7396642	0.86406493	0.8455123	0.92218965	0.93242854	0.77105725	0.8022442	0.8189349	0.84133357	0.81733406	0.7939631	0.80716836	0.8584968	0.82431597	0.819638	0.7396657	0.7657224	0.93448526	0.86343575	0.80427784	0.7651919	0.8107683	0.81693375	0.8446099	0.8166811	0.95485955	0.85456777	0.86837614	0.88040006	0.7872348	0.8622575	0.7845365	0.85068846	0.8086423	0.91015625	0.8421253	0.85312253	0.8851327	0.8470314	0.89771885	0.7869763	0.70580876	0.85323924	0.77625316	0.8599074	0.8707441	0.82065386	0.8060848	0.8228973	0.8459714	0.73557806	0.81766695	0.8154789	0.8444347	0.8220013	0.80290115	0.7948419	0.81815267	0.8106352	0.7974942	0.746762	0.8077313	0.70373225	0.8548125	0.911969	0.8306189	0.82071155	0.81652486	0.88157153
zelfs/adv	0.8686301	0.7561064	0.7800876	0.77736604	0.78559095	0.82553077	0.7485125	0.67983043	0.7639901	0.6744956	0.6981708	0.73299444	0.77599096	0.7845432	0.88812774	0.65851176	0.7118115	0.9017825	0.7722762	0.0	0.7739201	0.831037	0.6887355	0.7530434	0.6990787	0.86656344	0.79114014	0.8485016	0.75379187	0.7197012	0.6785443	0.78021145	0.8547168	0.82073003	0.83686924	0.7678716	0.7939123	0.8182335	0.760188	0.8151566	0.7780132	0.80661553	0.86677927	0.6281523	0.7126801	0.77748346	0.76478016	0.7012371	0.76640534	0.8769642	0.62758344	0.74847054	0.82271564	0.7288512	0.73693305	0.77361184	0.62630165	0.79825485	0.80241054	0.723312	0.7719073	0.8384535	0.7264403	0.8165146	0.78937024	0.8888971	0.86425716	0.72954017	0.6154312	0.7699599	0.718063	0.7848677	0.69578636	0.7358346	0.7880483	0.77362406	0.7230822	0.5157347	0.74538183	0.88991284	0.77876645	0.73987347	0.6573657	0.6298339	0.70070386	0.7872278	0.75487494	0.93552655	0.7685264	0.9306381	0.81365275	0.6581121	0.79572904	0.8549576	0.70002186	0.72553337	0.83060163	0.8155879	0.7323188	0.8685689	0.812642	0.8206899	0.7087811	0.6404115	0.76680017	0.68296987	0.78683954	0.7628434	0.8300537	0.79480934	0.79887104	0.8079555	0.598445	0.77048016	0.7262635	0.7791934	0.81136453	0.7722524	0.78997076	0.7436719	0.8002053	0.7125414	0.7455324	0.74882555	0.7666189	0.810565	0.87811416	0.7838305	0.755023	0.59665406	0.79828227
stuk/noun	0.88572156	0.69229424	0.8223597	0.79300547	0.7813494	0.6389949	0.7154118	0.71392334	0.8915243	0.74784386	0.78481555	0.7251681	0.7416862	0.84842837	0.9135226	0.79911244	0.6786268	0.86033064	0.85515046	0.7739201	0.0	0.8760813	0.66613185	0.75786287	0.7713585	0.8054644	0.7752977	0.86743385	0.857859	0.7305888	0.699667	0.78806156	0.795411	0.8176052	0.904717	0.84864545	0.71147376	0.7755731	0.7272087	0.79439974	0.89360416	0.7287067	0.88117087	0.623599	0.8466371	0.7994522	0.73002946	0.7116217	0.7135941	0.80770546	0.79322845	0.88405657	0.84881806	0.740942	0.7530985	0.8960995	0.7417122	0.857954	0.68283033	0.70124835	0.76637435	0.7876692	0.8410309	0.79501975	0.6884732	0.93805116	0.8050933	0.8101002	0.8090677	0.6732271	0.75366515	0.8716087	0.8073262	0.788267	0.74481046	0.72213936	0.6755338	0.68221056	0.79277337	0.8719394	0.86082107	0.75300586	0.7294041	0.7704846	0.76857233	0.6636818	0.79067045	0.8923939	0.83460534	0.9435649	0.73188055	0.68699986	0.6479704	0.8855705	0.78632236	0.8467698	0.8756788	0.81116337	0.8165382	0.9160101	0.8847738	0.7056985	0.6894707	0.8455852	0.76365983	0.77061135	0.8025484	0.87023175	0.83560437	0.7639195	0.74171066	0.63378	0.7713891	0.6962669	0.7658949	0.8376934	0.87838167	0.7157279	0.7726581	0.69020367	0.7842621	0.72797894	0.8589694	0.7488966	0.75741786	0.6769078	0.9306861	0.8422748	0.76357067	0.7141249	0.76864725
antwoord/noun	0.8579532	0.84188366	0.6872407	0.7664159	0.8598562	0.8832461	0.84753907	0.80507195	0.62980324	0.86441034	0.8772328	0.8394183	0.85282916	0.85577035	0.9455712	0.80195165	0.78993416	0.93171936	0.790845	0.831037	0.8760813	0.0	0.75249994	0.79048944	0.8679521	0.9007187	0.8413278	0.82461166	0.88150084	0.79782397	0.7437047	0.81226254	0.87054014	0.8025993	0.9387607	0.84281135	0.8067618	0.8587734	0.8386085	0.88041854	0.8573225	0.8697372	0.9291455	0.85389745	0.8674101	0.81105816	0.7876271	0.7905637	0.85644734	0.926797	0.79585654	0.88875735	0.9000823	0.75457466	0.81642437	0.90303755	0.82466817	0.8919384	0.80455756	0.8953245	0.74406344	0.7810366	0.69953877	0.8789678	0.88304734	0.9504099	0.9281233	0.84313613	0.79298544	0.76633054	0.853666	0.83173954	0.8382979	0.88838047	0.8646759	0.86155695	0.8368765	0.7786935	0.8661553	0.9535219	0.86353254	0.8704037	0.77701664	0.8841245	0.8452423	0.87084365	0.87244207	0.9390117	0.89974606	0.90342975	0.9195535	0.77878195	0.88489795	0.8910623	0.8705201	0.79850435	0.9526398	0.8757729	0.8845637	0.9464617	0.93208957	0.935997	0.770293	0.80108505	0.8957404	0.836421	0.89415014	0.82637715	0.820137	0.8941781	0.86291635	0.82629335	0.80980206	0.8076446	0.86942303	0.7304122	0.7761691	0.7877265	0.782912	0.8762225	0.80579853	0.8367711	0.8771745	0.74879307	0.7956476	0.83855623	0.9055747	0.8726439	0.84187686	0.86505675	0.87730217
zeer/adv	0.79429346	0.34420836	0.75237703	0.62702435	0.77909696	0.81935793	0.710873	0.4326942	0.6944193	0.5567214	0.73447573	0.66474515	0.7901889	0.8117788	0.88391685	0.67283595	0.67380345	0.839179	0.74152714	0.6887355	0.66613185	0.75249994	0.0	0.76078224	0.72327924	0.8020024	0.8322936	0.8162943	0.8119436	0.38860053	0.49208224	0.79155034	0.87685984	0.78949034	0.9021474	0.77172065	0.77993304	0.8090453	0.7396858	0.75401986	0.7748813	0.7721944	0.9102402	0.65229833	0.7812353	0.76138127	0.53645414	0.26277906	0.8049729	0.80975145	0.79178286	0.8182927	0.8165789	0.59046406	0.6743067	0.84482706	0.69187784	0.8319481	0.8055476	0.7813807	0.61626524	0.7805781	0.72298276	0.7909627	0.74855816	0.9214727	0.9128517	0.74101937	0.6690429	0.7306229	0.50654566	0.80102426	0.7290038	0.7732131	0.69852257	0.6840338	0.725317	0.5759927	0.6041807	0.8967207	0.7318441	0.7093179	0.5129454	0.8084209	0.6278664	0.737489	0.7743673	0.92809397	0.7804452	0.893438	0.798594	0.5179005	0.7736986	0.7971765	0.8627183	0.77891064	0.8974022	0.80631	0.7087604	0.8698658	0.851076	0.82545346	0.3777148	0.8040315	0.7820165	0.75126266	0.7936103	0.7208836	0.7694489	0.7419848	0.72923017	0.7786382	0.64781725	0.783216	0.6609876	0.7519541	0.82590663	0.6889337	0.6986135	0.70470834	0.7345808	0.612772	0.80336845	0.68379927	0.6969117	0.7669257	0.8797052	0.81945944	0.74062145	0.7901206	0.75982744
anekdote/noun	0.90239793	0.7021853	0.6900013	0.7394173	0.68169767	0.7005738	0.6825366	0.81904143	0.7932823	0.81117475	0.7108996	0.74367976	0.64201057	0.7482469	0.88193	0.774184	0.5882784	0.8579192	0.80169535	0.7530434	0.75786287	0.79048944	0.76078224	0.0	0.7080077	0.86269486	0.64598227	0.78169703	0.7564733	0.72362566	0.740546	0.64312357	0.73670876	0.71199024	0.83509547	0.8049414	0.7453972	0.65709704	0.63054514	0.78089094	0.85679024	0.75040996	0.9104664	0.7091221	0.7501793	0.79619294	0.780354	0.7859021	0.6571909	0.8308737	0.7964131	0.79871017	0.80596495	0.71823645	0.74241567	0.86500573	0.6910995	0.8152592	0.580649	0.73420125	0.75788164	0.70673394	0.693554	0.7665845	0.66804564	0.9030923	0.81115323	0.7235256	0.7864067	0.4545058	0.8195451	0.8287854	0.79368937	0.71054983	0.789609	0.6939631	0.56845474	0.61379266	0.7633183	0.89130366	0.8902718	0.6783551	0.70729816	0.75745714	0.7076669	0.6975306	0.7685007	0.9033363	0.76583254	0.9213785	0.7395381	0.70137167	0.7335762	0.86031514	0.8366625	0.8237623	0.8977508	0.77347875	0.7885763	0.8369318	0.8441753	0.77433777	0.7436539	0.76557016	0.7782607	0.79408973	0.7626927	0.85188866	0.8260937	0.7737667	0.64772105	0.586087	0.695942	0.66971946	0.7783667	0.7869914	0.79986256	0.6429179	0.6116141	0.7089008	0.5938274	0.80788124	0.77542305	0.5932217	0.6565267	0.6206486	0.8960054	0.72890705	0.6982337	0.7951917	0.77692556
onwaarschijnlijk/adj	0.9064368	0.7101571	0.83491313	0.78396165	0.71329266	0.7820707	0.754639	0.76934314	0.8419775	0.7045833	0.61992514	0.7224064	0.7690139	0.832471	0.8997147	0.8016591	0.7521616	0.90589666	0.8320638	0.6990787	0.7713585	0.8679521	0.72327924	0.7080077	0.0	0.8420867	0.84682554	0.8729201	0.8070786	0.68393314	0.7373276	0.77669716	0.83028847	0.82810754	0.89968085	0.79602194	0.76158404	0.7860954	0.72593343	0.79867476	0.8564692	0.8215221	0.90392303	0.7127452	0.78977245	0.80287427	0.76006997	0.72925925	0.7899874	0.82265276	0.8301157	0.8086795	0.81800765	0.7656549	0.7585325	0.862196	0.7027725	0.784055	0.8084788	0.7610114	0.817494	0.84186697	0.81314445	0.8241029	0.72749573	0.93379617	0.8400061	0.75164634	0.7470278	0.6885664	0.7629738	0.8122817	0.7487767	0.7087549	0.7924769	0.74671596	0.69255507	0.67130214	0.76210356	0.90720344	0.8236464	0.72173464	0.7007952	0.8023774	0.58969444	0.7921458	0.81112885	0.8942877	0.6751499	0.93062687	0.7837591	0.6832168	0.793994	0.8458212	0.8403958	0.78177226	0.8898262	0.84852725	0.65334976	0.8786012	0.85430825	0.8063555	0.7259718	0.80682766	0.77340174	0.7949463	0.8056557	0.80596983	0.8618109	0.76346934	0.7879683	0.7893189	0.74276555	0.79646754	0.7260076	0.75874203	0.83803713	0.76624817	0.7702639	0.7348693	0.76675975	0.7644273	0.8361035	0.7285892	0.7210405	0.75719357	0.8618669	0.80038846	0.7568535	0.7931026	0.72934055
onderdeel/noun	0.80714875	0.8130857	0.90464836	0.8853718	0.877553	0.87012476	0.8086107	0.83993185	0.9069088	0.8571279	0.8195362	0.75772256	0.81823575	0.87956333	0.9307513	0.8256	0.8068372	0.91839874	0.8482426	0.86656344	0.8054644	0.9007187	0.8020024	0.86269486	0.8420867	0.0	0.89050025	0.91537786	0.8658662	0.8268808	0.88531935	0.85874265	0.86768407	0.9055444	0.96226186	0.89535177	0.8462475	0.85119003	0.79841137	0.8813841	0.9011228	0.85089374	0.90785515	0.7223387	0.9087388	0.86579984	0.8751976	0.8804643	0.88263583	0.89688706	0.8974669	0.8957392	0.89198864	0.82196283	0.8016765	0.9400549	0.8594	0.9048438	0.8708599	0.91998565	0.83391464	0.84978825	0.90001833	0.7986713	0.836429	0.94917107	0.9267514	0.7295059	0.91493934	0.8701128	0.8976452	0.80685616	0.8828452	0.8841401	0.80592906	0.8047641	0.83527726	0.877978	0.80594385	0.9437254	0.85843635	0.8431044	0.8689966	0.9354815	0.8812519	0.8160575	0.9298811	0.91969985	0.8719326	0.9177831	0.8919669	0.8360656	0.81831604	0.81218505	0.87779987	0.90016985	0.869757	0.8572387	0.8350954	0.9507733	0.91687244	0.8640986	0.87385345	0.9216695	0.8212512	0.92737913	0.8907684	0.8221425	0.73301935	0.8595951	0.8590679	0.8173174	0.8563444	0.8688748	0.8541007	0.8207625	0.91944903	0.8016789	0.8433104	0.83789235	0.79895294	0.8778921	0.8935945	0.80576617	0.82845813	0.85890186	0.91008234	0.8920531	0.882081	0.776777	0.8679099
